case	mono	z	rt	spacing	seed_mono_mz	score	cos_averagine	cos_rotated	cos_cbp	cos_off09
00_z2_1533.8_s0.00	1533.84781	2	15.5516	0.50168	767.93118	0.00000	0.00000	0.16995	0.10222	0.00000
01_z1_405.7_s0.03	405.74819	1	10.6559	1.00335	406.75547	0.02585	0.02585	0.00000	0.02523	0.02101
02_z5_1888.3_s0.08	1888.32031	5	10.9006	0.20067	378.67134	0.08134	0.08134	0.00000	0.04490	0.02594
03_z2_1431.6_s0.13	1431.59318	2	16.8326	0.50168	716.80387	0.13258	0.13258	0.00000	0.06819	0.13511
04_z5_4843.0_s0.18	4843.00702	5	19.8324	0.20067	969.60868	0.17869	0.17869	0.01958	0.05463	0.00000
05_z6_4418.6_s0.22	4418.56951	6	16.9098	0.16723	737.43553	0.21826	0.21826	0.27685	0.22294	0.09869
06_z5_4440.0_s0.25	4440.01807	5	18.2025	0.20067	889.01089	0.25446	0.25446	0.19819	0.23316	0.00000
07_z5_2739.3_s0.29	2739.32349	5	19.4750	0.20067	548.87197	0.28891	0.28891	0.00000	0.06676	0.16538
08_z4_3082.5_s0.32	3082.49940	4	18.5904	0.25084	771.63213	0.32130	0.32130	0.00000	0.15413	0.19709
09_z3_2055.0_s0.35	2055.00265	3	12.6271	0.33445	686.00816	0.35383	0.35383	0.00000	0.22292	0.00000
10_z3_1238.6_s0.39	1238.57186	3	10.0220	0.33445	413.86456	0.38553	0.38553	0.11243	0.32315	0.45262
11_z3_1820.9_s0.42	1820.90334	3	15.3649	0.33445	607.97506	0.41956	0.41956	0.11641	0.34098	0.08517
12_z5_6217.4_s0.45	6217.42291	5	15.7134	0.20067	1244.49186	0.45453	0.45453	0.00000	0.26617	0.18670
13_z5_5579.8_s0.49	5579.75500	5	16.2103	0.20067	1116.95828	0.49083	0.49083	0.16991	0.32704	0.13991
14_z3_2138.5_s0.53	2138.49996	3	15.5516	0.33445	713.84060	0.52990	0.52990	0.01424	0.30245	0.18548
15_z4_2783.3_s0.57	2783.30714	4	12.5946	0.25084	696.83406	0.56853	0.56853	0.00000	0.07541	0.00000
16_z6_7266.2_s0.61	7266.23046	6	16.8326	0.16723	1212.04569	0.60831	0.60831	0.20060	0.27408	0.21858
17_z5_2084.1_s0.66	2084.10888	5	9.6458	0.20067	417.82905	0.65777	0.65777	0.00000	0.30707	0.00000
18_z4_4683.3_s0.72	4683.32356	4	18.7700	0.25084	1171.83817	0.71880	0.71880	0.87649	0.91473	0.00000
19_z2_1092.4_s0.81	1092.39548	2	16.8863	0.50168	547.20502	0.80534	0.80534	0.23778	0.53394	0.61613
20_z1_532.9_s0.88	532.92717	1	4.5834	1.00335	533.93445	0.88166	0.88166	0.00000	0.21932	0.88166
21_z1_430.2_s0.93	430.19789	1	19.8628	1.00335	431.20517	0.92988	0.92988	0.00000	0.76253	0.91287
22_z1_900.2_s0.97	900.16442	1	11.4347	1.00335	901.17170	0.96722	0.96722	0.26344	0.84819	0.84701
23_z3_1248.6_s0.99	1248.63762	3	10.5856	0.33445	417.21982	0.98934	0.98934	0.04447	0.76777	0.65866
