model	score
target	0.99021
target	0.98751
target	0.66707
target	0.98865
target	0.99407
target	0.35748
target	0.99406
target	0.99290
target	0.99644
target	0.98907
target	0.33618
target	0.97787
target	0.99881
target	0.98053
target	0.99851
target	0.99339
target	0.99427
target	0.98952
target	0.30040
target	0.98640
target	0.99209
target	0.95924
target	0.99626
target	0.99462
target	0.98874
target	0.99570
target	0.99893
target	0.99721
target	0.99474
target	0.99633
target	0.98948
target	0.33435
target	0.40028
target	0.65452
target	0.58128
target	0.99223
target	0.73434
target	0.99515
target	0.97776
target	0.99661
target	0.62252
target	0.98995
target	0.99087
target	0.98653
target	0.54990
target	0.50941
target	0.48171
target	0.99651
target	0.99604
target	0.99869
target	0.99424
target	0.98673
target	0.99808
target	0.53777
target	0.49838
target	0.98326
target	0.98870
target	0.58824
target	0.98665
target	0.98660
target	0.98563
target	0.92289
target	0.94745
target	0.99179
target	0.99713
target	0.94157
target	0.31528
target	0.99566
target	0.99530
target	0.99246
target	0.97628
target	0.98669
target	0.99861
target	0.45020
target	0.46757
target	0.00533
target	0.93079
target	0.98098
target	0.96284
target	0.98111
target	0.04035
target	0.38683
target	0.94013
target	0.87824
target	0.99038
target	0.99512
target	0.81580
target	0.99438
target	0.99562
target	0.97602
target	0.99047
target	0.99656
target	0.39570
target	0.99908
target	0.97710
target	0.99569
target	0.93991
target	0.99322
target	0.99028
target	0.99398
target	0.98550
target	0.97821
target	0.99843
target	0.66499
target	0.94516
target	0.25909
target	0.99127
target	0.62126
target	0.96451
target	0.99360
target	0.92182
target	0.87069
target	0.99276
target	0.40676
target	0.39226
target	0.98856
target	0.99577
target	0.40525
target	0.99741
target	0.49156
target	0.87454
target	0.99706
target	0.98627
target	0.82219
target	0.94566
target	0.40790
target	0.55703
target	0.98303
target	0.64459
target	0.99314
target	0.93770
target	0.99239
target	0.92189
target	0.99737
target	0.99566
target	0.99798
target	0.29172
target	0.99591
target	0.10606
target	0.99555
target	0.99047
target	0.42094
target	0.73044
target	0.98230
target	0.99758
target	0.99702
target	0.98439
target	0.99451
target	0.99484
target	0.32819
target	0.99676
target	0.98922
target	0.95181
target	0.99148
target	0.97784
target	0.98912
target	0.98971
target	0.30189
target	0.49091
target	0.99469
target	0.97501
target	0.26211
target	0.99949
target	0.97688
target	0.30489
target	0.80486
target	0.99652
target	0.98896
target	0.97744
target	0.98387
target	0.70879
target	0.98913
target	0.63419
target	0.99679
target	0.78797
target	0.80993
target	0.99170
target	0.99910
target	0.10858
target	0.94566
target	0.95342
target	0.99792
target	0.99131
target	0.99800
target	0.89908
target	0.99719
target	0.99698
target	0.99033
target	0.89993
target	0.65712
target	0.99418
target	0.38825
target	0.95475
target	0.99647
target	0.94886
target	0.99412
target	0.98569
target	0.99437
target	0.43900
target	0.56926
target	0.98778
target	0.29363
target	0.14557
target	0.09376
target	0.52635
target	0.70219
target	0.42049
target	0.42801
target	0.90706
target	0.98910
target	0.93852
target	0.95377
target	0.46341
target	0.27920
target	0.99502
target	0.64063
target	0.45807
target	0.99847
target	0.42186
target	0.30854
target	0.99134
target	0.97801
target	0.97031
target	0.90363
target	0.53127
target	0.43676
target	0.99553
target	0.98686
target	0.85491
target	0.37636
target	0.52635
target	0.96287
target	0.77966
target	0.99701
target	0.98967
target	0.35875
target	0.99582
target	0.97344
target	0.98670
target	0.98051
target	0.96926
target	0.64220
target	0.28375
target	0.93180
target	0.86691
target	0.49366
target	0.99175
target	0.96303
target	0.98727
target	0.97585
target	0.96700
target	0.37169
target	0.99118
target	0.99890
target	0.00096
target	0.95700
target	0.62665
target	0.97204
target	0.34330
target	0.30000
target	0.33907
target	0.99750
target	0.97934
target	0.97168
target	0.99917
target	0.92927
target	0.99410
target	0.99156
target	0.41300
target	0.59036
target	0.92027
target	0.99435
target	0.60808
target	0.99125
target	0.63154
target	0.96543
target	0.99457
target	0.54877
target	0.98687
target	0.00184
target	0.97664
target	0.57096
target	0.32392
target	0.99518
target	0.31289
target	0.59801
target	0.95513
target	0.99255
target	0.99565
target	0.52299
target	0.36088
target	0.42893
target	0.99392
target	0.35097
target	0.92041
target	0.96682
target	0.39303
target	0.40410
target	0.00544
target	0.40328
target	0.99024
target	0.96466
target	0.97928
target	0.93211
target	0.89605
target	0.46296
target	0.98523
target	0.65968
target	0.50752
target	0.22365
target	0.93794
target	0.99674
target	0.57592
target	0.71123
target	0.46992
target	0.41211
target	0.99892
target	0.59363
target	0.87838
target	0.94928
target	0.42280
target	0.59830
target	0.46143
target	0.91073
target	0.41960
target	0.21751
target	0.92250
target	0.28658
target	0.30205
target	0.80157
target	0.95782
target	0.28203
target	0.99443
target	0.70212
target	0.99033
target	0.61097
target	0.15535
target	0.99523
target	0.99878
target	0.30103
target	0.62101
target	0.10625
target	0.99705
target	0.67769
target	0.63361
target	0.92333
target	0.99234
target	0.94013
target	0.23751
target	0.60466
target	0.95534
target	0.93077
target	0.99430
target	0.29988
target	0.94189
target	0.87283
target	0.39907
target	0.99090
target	0.46092
target	0.27683
target	0.92690
target	0.45719
target	0.50835
target	0.38007
target	0.97408
target	0.30126
target	0.96630
target	0.94082
target	0.89060
target	0.98664
target	0.21546
target	0.55416
target	0.82533
target	0.99418
target	0.55426
target	0.51718
target	0.39410
target	0.64904
target	0.85055
target	0.99446
target	0.94517
target	0.95570
target	0.98979
target	0.39810
target	0.47856
target	0.79248
target	0.20276
target	0.41964
target	0.65983
target	0.41397
target	0.98910
target	0.98520
target	0.45772
target	0.24041
target	0.61851
target	0.86955
target	0.90331
target	0.98995
target	0.98925
target	0.91608
target	0.99384
target	0.74434
target	0.28062
target	0.85075
target	0.98570
target	0.99126
target	0.98733
target	0.23041
target	0.32794
target	0.58942
target	0.82846
target	0.98526
target	0.44846
target	0.65352
target	0.98772
target	0.76112
target	0.34643
target	0.95485
target	0.91887
target	0.75025
target	0.71529
target	0.98849
target	0.54793
target	0.54626
target	0.99066
target	0.58719
target	0.45767
target	0.99330
target	0.81364
target	0.89977
target	0.26648
target	0.40717
target	0.41995
target	0.99779
target	0.54888
target	0.98116
target	0.57996
target	0.64242
target	0.71593
target	0.69174
target	0.53954
target	0.99901
target	0.60621
target	0.78305
target	0.00144
target	0.91600
target	0.88269
target	0.81579
target	0.20322
target	0.40709
target	0.95574
target	0.39171
target	0.38475
target	0.49018
target	0.98155
target	0.48116
target	0.42465
target	0.76749
target	0.21212
target	0.35726
target	0.28282
target	0.53345
target	0.31932
target	0.76104
target	0.21032
target	0.82569
target	0.28384
target	0.76347
target	0.36220
target	0.62028
target	0.56687
target	0.10036
target	0.27719
target	0.92396
target	0.45448
target	0.57521
target	0.99115
target	0.57948
target	0.36123
target	0.20715
target	0.49263
target	0.35376
target	0.33831
target	0.22403
target	0.55298
target	0.16114
target	0.86391
target	0.74109
target	0.99292
target	0.53093
target	0.98033
target	0.21366
target	0.99262
target	0.96801
target	0.31136
target	0.88617
target	0.26016
target	0.60546
target	0.69091
target	0.03451
target	0.89453
target	0.40842
target	0.32447
target	0.96029
target	0.57065
target	0.16070
target	0.95677
target	0.83511
target	0.99539
target	0.10548
target	0.45711
target	0.37036
target	0.44921
target	0.38498
target	0.47102
target	0.73412
target	0.97384
target	0.44194
target	0.39476
target	0.59347
target	0.42574
target	0.50744
target	0.13358
target	0.28326
target	0.67119
target	0.29795
target	0.98642
target	0.44613
target	0.86861
target	0.00220
target	0.56065
target	0.47338
target	0.47667
target	0.33811
target	0.49442
target	0.55398
target	0.58079
target	0.97877
target	0.67936
target	0.98177
target	0.98700
target	0.71055
target	0.28075
target	0.93092
target	0.94013
target	0.99126
target	0.97823
target	0.50716
target	0.21780
target	0.57948
target	0.46273
target	0.55770
target	0.88739
target	0.39839
target	0.88738
target	0.56624
target	0.37104
target	0.96824
target	0.47959
target	0.94659
target	0.30467
target	0.99763
target	0.85199
target	0.27341
target	0.89599
target	0.51919
target	0.97036
target	0.38852
target	0.97927
target	0.98848
target	0.44654
target	0.99584
target	0.41078
target	0.58686
target	0.75582
target	0.98085
target	0.00449
target	0.99872
target	0.60588
target	0.28941
target	0.99723
target	0.97509
target	0.30821
target	0.18574
target	0.65864
target	0.58174
target	0.45199
target	0.99584
target	0.72010
target	0.99125
target	0.94247
target	0.67376
target	0.34645
target	0.40908
target	0.22460
target	0.99073
target	0.43477
target	0.98477
target	0.38185
target	0.39603
target	0.25050
target	0.98716
target	0.15408
target	0.79694
target	0.70641
target	0.97293
target	0.99358
target	0.71127
target	0.52051
target	0.09224
target	0.95662
target	0.36154
target	0.54440
target	0.95125
target	0.00731
target	0.15060
target	0.51692
target	0.70610
target	0.82408
target	0.38231
target	0.62635
target	0.89842
target	0.95248
target	0.52516
target	0.84465
target	0.28568
target	0.98231
target	0.98342
target	0.96650
target	0.99786
target	0.91692
target	0.23567
target	0.42875
target	0.99502
target	0.45141
target	0.30112
target	0.97658
target	0.41830
target	0.99752
target	0.71758
target	0.27239
target	0.27267
