case	series	mz	value
00_z2_1533.8_s0.00	observed_apex	767.33990	0.00883
00_z2_1533.8_s0.00	observed_apex	767.42950	0.03235
00_z2_1533.8_s0.00	observed_apex	767.52094	0.04708
00_z2_1533.8_s0.00	observed_apex	767.61237	0.02989
00_z2_1533.8_s0.00	observed_apex	767.70093	0.03873
00_z2_1533.8_s0.00	observed_apex	767.79248	0.05021
00_z2_1533.8_s0.00	observed_apex	767.88519	0.03974
00_z2_1533.8_s0.00	observed_apex	767.90601	0.00832
00_z2_1533.8_s0.00	observed_apex	767.97479	0.01467
00_z2_1533.8_s0.00	observed_apex	768.06909	0.01547
00_z2_1533.8_s0.00	observed_apex	768.12189	0.01013
00_z2_1533.8_s0.00	observed_apex	768.34308	0.00871
00_z2_1533.8_s0.00	observed_apex	768.79370	0.09766
00_z2_1533.8_s0.00	observed_apex	768.81287	0.01060
00_z2_1533.8_s0.00	observed_apex	768.88501	0.23675
00_z2_1533.8_s0.00	observed_apex	768.97620	0.39928
00_z2_1533.8_s0.00	observed_apex	769.01495	0.00943
00_z2_1533.8_s0.00	observed_apex	769.06757	0.62498
00_z2_1533.8_s0.00	observed_apex	769.15851	1.00000
00_z2_1533.8_s0.00	observed_apex	769.20343	0.01021
00_z2_1533.8_s0.00	observed_apex	769.24945	0.87924
00_z2_1533.8_s0.00	observed_apex	769.34070	0.88592
00_z2_1533.8_s0.00	observed_apex	769.43140	0.43882
00_z2_1533.8_s0.00	observed_apex	769.52277	0.40115
00_z2_1533.8_s0.00	observed_apex	769.61389	0.23654
00_z2_1533.8_s0.00	observed_apex	769.67273	0.00661
00_z2_1533.8_s0.00	observed_apex	769.70526	0.12237
00_z2_1533.8_s0.00	observed_apex	769.79651	0.10661
00_z2_1533.8_s0.00	observed_apex	769.88702	0.04594
00_z2_1533.8_s0.00	observed_apex	769.97711	0.01510
00_z2_1533.8_s0.00	observed_apex	770.61243	0.01049
00_z2_1533.8_s0.00	observed_apex	770.79602	0.00975
00_z2_1533.8_s0.00	observed_apex	770.88794	0.00737
00_z2_1533.8_s0.00	observed_apex	770.97632	0.01215
00_z2_1533.8_s0.00	observed_apex	771.06891	0.02651
00_z2_1533.8_s0.00	observed_apex	771.15692	0.01221
00_z2_1533.8_s0.00	observed_apex	771.33820	0.01903
00_z2_1533.8_s0.00	observed_apex	771.52155	0.02089
00_z2_1533.8_s0.00	observed_apex	771.69934	0.00696
00_z2_1533.8_s0.00	observed_apex	772.02905	0.01237
00_z2_1533.8_s0.00	observed_apex	772.69696	0.01223
00_z2_1533.8_s0.00	observed_apex	772.88556	0.01010
00_z2_1533.8_s0.00	observed_apex	773.03162	0.00999
00_z2_1533.8_s0.00	observed_apex	773.07129	0.00792
00_z2_1533.8_s0.00	observed_apex	773.34454	0.01662
00_z2_1533.8_s0.00	observed_apex	773.69940	0.00718
00_z2_1533.8_s0.00	observed_apex	773.72400	0.00791
00_z2_1533.8_s0.00	observed_apex	774.15991	0.02339
00_z2_1533.8_s0.00	observed_apex	774.25049	0.03736
00_z2_1533.8_s0.00	observed_apex	774.34131	0.03868
00_z2_1533.8_s0.00	observed_apex	774.52313	0.03456
00_z2_1533.8_s0.00	observed_apex	774.61139	0.01701
00_z2_1533.8_s0.00	observed_apex	774.79724	0.02251
00_z2_1533.8_s0.00	observed_apex	775.65796	0.00762
00_z2_1533.8_s0.00	observed_apex	775.68091	0.00919
00_z2_1533.8_s0.00	observed_apex	775.92334	0.00928
00_z2_1533.8_s0.00	observed_apex	778.04584	0.00693
00_z2_1533.8_s0.00	observed_apex	778.52332	0.01102
00_z2_1533.8_s0.00	observed_apex	778.72864	0.00907
00_z2_1533.8_s0.00	observed_apex	779.61700	0.01180
00_z2_1533.8_s0.00	observed_apex	779.70776	0.01356
00_z2_1533.8_s0.00	observed_apex	779.79950	0.00943
00_z2_1533.8_s0.00	observed_apex	779.93225	0.00782
00_z2_1533.8_s0.00	observed_apex	780.07397	0.00643
00_z2_1533.8_s0.00	observed_apex	780.44055	0.01078
00_z2_1533.8_s0.00	observed_apex	780.84534	0.00848
00_z2_1533.8_s0.00	observed_apex	780.93481	0.00967
00_z2_1533.8_s0.00	templ_averagine	767.93118	1.00000
00_z2_1533.8_s0.00	templ_averagine	768.43286	0.81800
00_z2_1533.8_s0.00	templ_averagine	768.93454	0.41633
00_z2_1533.8_s0.00	templ_averagine	769.43621	0.15777
00_z2_1533.8_s0.00	templ_averagine	769.93789	0.04814
00_z2_1533.8_s0.00	templ_rotated	767.93118	0.15777
00_z2_1533.8_s0.00	templ_rotated	768.43286	0.04814
00_z2_1533.8_s0.00	templ_rotated	768.93454	1.00000
00_z2_1533.8_s0.00	templ_rotated	769.43621	0.81800
00_z2_1533.8_s0.00	templ_rotated	769.93789	0.41633
00_z2_1533.8_s0.00	templ_cbp	767.93118	0.70243
00_z2_1533.8_s0.00	templ_cbp	768.43286	0.90317
00_z2_1533.8_s0.00	templ_cbp	768.93454	1.00000
00_z2_1533.8_s0.00	templ_cbp	769.43621	0.89454
00_z2_1533.8_s0.00	templ_cbp	769.93789	0.75968
00_z2_1533.8_s0.00	templ_cbp	770.43957	0.51761
00_z2_1533.8_s0.00	templ_cbp	770.94125	0.34620
00_z2_1533.8_s0.00	templ_cbp	771.44292	0.18770
00_z2_1533.8_s0.00	templ_cbp	771.94460	0.09913
00_z2_1533.8_s0.00	templ_cbp	772.44628	0.04348
00_z2_1533.8_s0.00	templ_off09	767.93118	1.00000
00_z2_1533.8_s0.00	templ_off09	768.38269	0.81800
00_z2_1533.8_s0.00	templ_off09	768.83420	0.41633
00_z2_1533.8_s0.00	templ_off09	769.28571	0.15777
00_z2_1533.8_s0.00	templ_off09	769.73722	0.04814
01_z1_405.7_s0.03	observed_apex	406.03217	0.00420
01_z1_405.7_s0.03	observed_apex	406.04010	0.00168
01_z1_405.7_s0.03	observed_apex	406.05176	0.00221
01_z1_405.7_s0.03	observed_apex	406.05841	0.00114
01_z1_405.7_s0.03	observed_apex	406.76279	0.00134
01_z1_405.7_s0.03	observed_apex	407.18588	0.00660
01_z1_405.7_s0.03	observed_apex	407.19995	0.00212
01_z1_405.7_s0.03	observed_apex	407.53922	0.00120
01_z1_405.7_s0.03	observed_apex	407.68719	0.00275
01_z1_405.7_s0.03	observed_apex	407.71048	0.05453
01_z1_405.7_s0.03	observed_apex	407.72189	0.00134
01_z1_405.7_s0.03	observed_apex	407.73621	0.00412
01_z1_405.7_s0.03	observed_apex	407.74704	0.00282
01_z1_405.7_s0.03	observed_apex	407.75882	0.00152
01_z1_405.7_s0.03	observed_apex	407.87198	0.00190
01_z1_405.7_s0.03	observed_apex	408.02872	0.00105
01_z1_405.7_s0.03	observed_apex	408.11700	0.00095
01_z1_405.7_s0.03	observed_apex	408.16803	0.01894
01_z1_405.7_s0.03	observed_apex	408.21213	0.01974
01_z1_405.7_s0.03	observed_apex	408.22748	0.00113
01_z1_405.7_s0.03	observed_apex	408.23709	0.00107
01_z1_405.7_s0.03	observed_apex	408.50201	0.00986
01_z1_405.7_s0.03	observed_apex	408.61810	0.00147
01_z1_405.7_s0.03	observed_apex	408.71350	0.00526
01_z1_405.7_s0.03	observed_apex	408.72134	0.00088
01_z1_405.7_s0.03	observed_apex	408.83450	0.00244
01_z1_405.7_s0.03	observed_apex	408.83731	0.00200
01_z1_405.7_s0.03	observed_apex	408.89508	0.00416
01_z1_405.7_s0.03	observed_apex	409.14523	0.00114
01_z1_405.7_s0.03	observed_apex	409.19058	0.00279
01_z1_405.7_s0.03	observed_apex	409.20679	0.00126
01_z1_405.7_s0.03	observed_apex	409.22308	0.00171
01_z1_405.7_s0.03	observed_apex	409.22983	0.00293
01_z1_405.7_s0.03	observed_apex	409.44217	0.00316
01_z1_405.7_s0.03	observed_apex	409.56381	0.00104
01_z1_405.7_s0.03	observed_apex	409.67514	0.00380
01_z1_405.7_s0.03	observed_apex	409.69162	0.00114
01_z1_405.7_s0.03	observed_apex	409.85577	0.48056
01_z1_405.7_s0.03	observed_apex	409.87390	0.01445
01_z1_405.7_s0.03	observed_apex	410.18991	0.31588
01_z1_405.7_s0.03	observed_apex	410.20825	0.00628
01_z1_405.7_s0.03	observed_apex	410.52423	0.12034
01_z1_405.7_s0.03	observed_apex	410.54288	0.00237
01_z1_405.7_s0.03	observed_apex	410.85870	0.02580
01_z1_405.7_s0.03	observed_apex	410.87775	0.00130
01_z1_405.7_s0.03	observed_apex	411.05209	0.00136
01_z1_405.7_s0.03	observed_apex	411.19290	0.00368
01_z1_405.7_s0.03	observed_apex	411.20456	0.00077
