scan_index	one_based_scan	rt	mz	intensity	charge
1200	2064	7.60156	376.838661	8.6783e3	3
1200	2064	7.60156	376.839643	1.6486e4	3
1200	2064	7.60156	376.840624	2.0677e4	3
1200	2064	7.60156	376.841606	1.8342e4	3
1200	2064	7.60156	376.842587	1.1360e4	3
1200	2064	7.60156	376.843569	4.2152e3	3
1200	2064	7.60156	376.899525	2.9580e3	0
1200	2064	7.60156	376.900507	1.9740e4	0
1200	2064	7.60156	376.901489	4.7856e4	0
1200	2064	7.60156	376.902471	7.7631e4	0
1200	2064	7.60156	376.903452	8.0478e4	0
1200	2064	7.60156	376.904434	5.2396e4	0
1200	2064	7.60156	376.905416	2.5639e4	0
1200	2064	7.60156	376.906398	6.7288e3	0
1200	2064	7.60156	376.907380	4.4181e3	0
1200	2064	7.60156	377.173597	4.9376e3	3
1200	2064	7.60156	377.174579	9.4699e3	3
1200	2064	7.60156	377.175562	1.2068e4	3
1200	2064	7.60156	377.176545	1.1183e4	3
1200	2064	7.60156	377.177528	7.1403e3	3
1200	2064	7.60156	377.840867	5.9295e3	0
1200	2064	7.60156	377.841852	1.0433e4	0
1200	2064	7.60156	377.842838	1.2987e4	0
1200	2064	7.60156	377.843823	1.1310e4	0
1200	2064	7.60156	377.844809	6.3118e3	0
1200	2064	7.60156	377.899017	4.3853e3	0
1200	2064	7.60156	377.900002	1.1256e4	0
1200	2064	7.60156	377.900988	2.1407e4	0
1200	2064	7.60156	377.901974	2.8255e4	0
1200	2064	7.60156	377.902960	2.6914e4	0
1200	2064	7.60156	377.903945	1.8788e4	0
1200	2064	7.60156	377.904931	9.3613e3	0
1200	2064	7.60156	377.905917	2.8768e3	0
1200	2064	7.60156	380.835688	5.0072e3	0
1200	2064	7.60156	380.836685	1.1303e4	0
1200	2064	7.60156	380.837682	1.9690e4	0
1200	2064	7.60156	380.838679	2.5885e4	0
1200	2064	7.60156	380.839676	2.6388e4	0
1200	2064	7.60156	380.840674	2.0819e4	0
1200	2064	7.60156	380.841671	1.2208e4	0
1200	2064	7.60156	380.842668	4.7812e3	0
1200	2064	7.60156	381.023234	7.8130e3	2
1200	2064	7.60156	381.024232	1.7618e4	2
1200	2064	7.60156	381.025230	2.3888e4	2
1200	2064	7.60156	381.026228	2.2110e4	6
1200	2064	7.60156	381.027226	1.4125e4	6
1200	2064	7.60156	381.028224	5.6892e3	6
1200	2064	7.60156	381.059163	4.2876e3	0
1200	2064	7.60156	381.060161	1.1724e4	0
1200	2064	7.60156	381.061159	2.6673e4	0
1200	2064	7.60156	381.062157	3.6578e4	0
1200	2064	7.60156	381.063155	2.9159e4	0
1200	2064	7.60156	381.064154	1.4019e4	0
1200	2064	7.60156	381.065152	5.7057e3	0
1200	2064	7.60156	381.180960	1.4502e3	3
1200	2064	7.60156	381.181959	1.0421e4	3
1200	2064	7.60156	381.182957	3.7620e4	3
1200	2064	7.60156	381.183956	6.7574e4	3
1200	2064	7.60156	381.184954	9.1805e4	3
1200	2064	7.60156	381.185953	7.5459e4	3
1200	2064	7.60156	381.186952	4.6778e4	3
1200	2064	7.60156	381.187950	1.9222e4	3
1200	2064	7.60156	381.188949	8.8865e3	3
1200	2064	7.60156	381.189947	1.4291e4	3
1200	2064	7.60156	381.190946	2.7151e4	3
1200	2064	7.60156	381.191945	3.6805e4	3
1200	2064	7.60156	381.192943	3.2212e4	3
1200	2064	7.60156	381.193942	1.3885e4	6
1200	2064	7.60156	381.194941	5.7999e3	6
1200	2064	7.60156	381.509704	4.6871e3	3
1200	2064	7.60156	381.510704	1.3736e4	3
1200	2064	7.60156	381.511704	2.5440e4	3
1200	2064	7.60156	381.512704	3.2773e4	3
1200	2064	7.60156	381.513704	2.5781e4	3
1200	2064	7.60156	381.514703	1.1714e4	3
1200	2064	7.60156	381.515703	1.0032e4	3
1200	2064	7.60156	381.516703	2.5203e4	3
1200	2064	7.60156	381.517703	6.1365e4	3
1200	2064	7.60156	381.518703	9.9871e4	3
1200	2064	7.60156	381.519703	1.1142e5	3
1200	2064	7.60156	381.520703	7.6135e4	3
1200	2064	7.60156	381.521703	3.9458e4	3
1200	2064	7.60156	381.522703	1.1560e4	3
1200	2064	7.60156	381.523703	2.9235e3	3
1200	2064	7.60156	381.838874	1.5673e3	3
1200	2064	7.60156	381.839875	1.3496e4	3
1200	2064	7.60156	381.840876	4.2121e4	3
1200	2064	7.60156	381.841877	7.4368e4	3
1200	2064	7.60156	381.842878	1.0160e5	3
1200	2064	7.60156	381.843879	8.7056e4	3
1200	2064	7.60156	381.844881	5.4329e4	3
1200	2064	7.60156	381.845882	2.4343e4	3
1200	2064	7.60156	381.846883	6.7384e3	3
1200	2064	7.60156	381.850888	5.8984e3	3
1200	2064	7.60156	381.851889	1.3149e4	3
1200	2064	7.60156	381.852890	2.3151e4	3
1200	2064	7.60156	381.853891	3.3550e4	3
1200	2064	7.60156	381.854893	2.2115e4	3
1200	2064	7.60156	381.855894	1.3569e4	3
1200	2064	7.60156	381.856895	5.6603e3	3
1200	2064	7.60156	381.875919	5.0300e3	0
1200	2064	7.60156	381.876921	1.3000e4	0
1200	2064	7.60156	381.877922	2.0285e4	0
1200	2064	7.60156	381.878923	2.1991e4	0
1200	2064	7.60156	381.879925	1.6591e4	0
1200	2064	7.60156	381.880926	7.7986e3	0
1200	2064	7.60156	382.174484	4.4171e3	3
1200	2064	7.60156	382.175487	1.4662e4	3
1200	2064	7.60156	382.176489	2.4470e4	3
1200	2064	7.60156	382.177492	2.6479e4	3
1200	2064	7.60156	382.178494	1.9437e4	3
1200	2064	7.60156	382.179497	9.1768e3	3
1200	2064	7.60156	384.004546	3.6334e3	6
1200	2064	7.60156	384.005556	1.2245e4	6
1200	2064	7.60156	384.006566	2.2437e4	6
1200	2064	7.60156	384.007576	2.6332e4	6
1200	2064	7.60156	384.008585	2.0338e4	6
1200	2064	7.60156	384.009595	9.4687e3	6
1200	2064	7.60156	384.175241	8.9092e3	6
