scan_index	one_based_scan	rt	mz	intensity	charge
1200	2064	7.60156	376.840869	7.9759e4	3
1200	2064	7.60156	376.903135	3.1785e5	0
1200	2064	7.60156	377.175697	4.4798e4	3
1200	2064	7.60156	377.842872	4.6972e4	0
1200	2064	7.60156	377.902350	1.2324e5	0
1200	2064	7.60156	380.839205	1.2608e5	0
1200	2064	7.60156	381.025604	9.1244e4	0
1200	2064	7.60156	381.062246	1.2815e5	0
1200	2064	7.60156	381.187026	4.8936e5	3
1200	2064	7.60156	381.517976	5.5210e5	3
1200	2064	7.60156	381.845517	5.2272e5	3
1200	2064	7.60156	381.878578	8.4697e4	0
1200	2064	7.60156	382.177194	9.8642e4	3
1200	2064	7.60156	384.007377	9.4454e4	6
1200	2064	7.60156	384.177067	5.9263e4	6
1200	2064	7.60156	385.041775	1.2888e5	5
1200	2064	7.60156	385.166046	2.9956e5	0
1200	2064	7.60156	385.239052	7.4509e4	5
1200	2064	7.60156	385.259505	1.2531e5	0
1200	2064	7.60156	385.962778	5.3564e4	0
1200	2064	7.60156	386.023614	6.2591e5	0
1200	2064	7.60156	386.168833	8.0034e4	0
1200	2064	7.60156	386.207143	1.7865e5	0
1200	2064	7.60156	386.850984	1.1625e5	3
1200	2064	7.60156	387.075170	6.4978e4	5
1200	2064	7.60156	387.144609	4.5126e4	0
1200	2064	7.60156	387.185577	7.6423e4	3
1200	2064	7.60156	387.210153	5.5294e4	0
1200	2064	7.60156	387.275503	1.7064e5	5
1200	2064	7.60156	388.019145	1.2301e5	0
1200	2064	7.60156	389.090828	1.2799e5	3
1200	2064	7.60156	389.404725	6.3397e4	0
1200	2064	7.60156	389.423893	4.7995e4	3
1200	2064	7.60156	389.845241	1.0087e5	3
1200	2064	7.60156	390.179584	6.1763e4	3
1200	2064	7.60156	390.902719	1.1951e5	3
1200	2064	7.60156	391.237936	2.1383e5	3
1200	2064	7.60156	391.288072	2.5484e5	0
1200	2064	7.60156	391.848309	8.2201e4	0
1200	2064	7.60156	392.241495	9.1892e4	0
1200	2064	7.60156	392.291513	9.7026e4	0
1200	2064	7.60156	392.513316	1.2382e5	0
1200	2064	7.60156	392.878159	4.9970e4	0
1200	2064	7.60156	393.062351	1.1240e5	0
1200	2064	7.60156	393.301669	2.7767e5	0
1200	2064	7.60156	393.848486	4.6601e4	5
1200	2064	7.60156	394.052227	6.8548e4	5
1200	2064	7.60156	394.716538	5.1770e5	2
1200	2064	7.60156	394.884078	2.1573e5	3
1200	2064	7.60156	395.078073	1.8950e6	3
1200	2064	7.60156	395.216731	1.1901e5	2
1200	2064	7.60156	395.415916	4.9934e4	3
1200	2064	7.60156	395.520322	1.5215e6	3
1200	2064	7.60156	395.854005	1.1063e6	3
1200	2064	7.60156	395.881543	4.7308e4	5
1200	2064	7.60156	396.081710	2.8710e5	5
1200	2064	7.60156	396.189267	3.5721e5	3
1200	2064	7.60156	396.851475	6.7294e4	3
1200	2064	7.60156	397.073442	2.0209e5	0
1200	2064	7.60156	397.184281	1.3063e5	3
1200	2064	7.60156	397.443942	5.4622e4	0
1200	2064	7.60156	399.254626	7.7486e4	0
1200	2064	7.60156	399.350902	6.1332e4	0
1200	2064	7.60156	400.180737	6.2007e4	0
1200	2064	7.60156	400.852205	7.6942e4	3
1200	2064	7.60156	401.186840	1.2822e5	3
1200	2064	7.60156	402.018713	1.5103e5	0
1200	2064	7.60156	402.190774	5.3664e4	0
1200	2064	7.60156	402.250204	5.0111e4	0
1200	2064	7.60156	403.052436	2.1363e6	0
1200	2064	7.60156	403.228469	1.3029e5	0
1200	2064	7.60156	403.675872	7.3980e4	0
1200	2064	7.60156	404.042393	1.0878e6	6
1200	2064	7.60156	404.171962	2.3495e5	0
1200	2064	7.60156	404.208363	7.8594e4	6
1200	2064	7.60156	404.852021	4.7867e4	0
1200	2064	7.60156	405.045999	3.7266e5	0
1200	2064	7.60156	405.067948	7.6926e4	0
1200	2064	7.60156	405.085958	5.9070e4	0
1200	2064	7.60156	405.846646	5.6780e4	3
1200	2064	7.60156	406.032319	1.7641e5	0
1200	2064	7.60156	406.183057	6.9429e4	3
1200	2064	7.60156	406.518310	1.3145e5	3
1200	2064	7.60156	407.200054	5.8359e4	0
1200	2064	7.60156	407.710662	8.4176e4	0
1200	2064	7.60156	409.223226	4.9323e4	0
1200	2064	7.60156	411.073326	2.3891e5	0
1200	2064	7.60156	411.177266	6.4536e4	3
1200	2064	7.60156	411.396719	4.8335e4	0
1200	2064	7.60156	411.514848	8.1123e4	3
1200	2064	7.60156	411.711422	5.1380e4	5
1200	2064	7.60156	411.850249	1.2229e5	3
1200	2064	7.60156	412.077035	9.5637e4	0
1200	2064	7.60156	412.893465	5.5372e4	0
1200	2064	7.60156	413.182935	4.9698e4	0
1200	2064	7.60156	413.270623	1.6750e5	0
1200	2064	7.60156	413.839176	5.3471e4	0
1200	2064	7.60156	414.034831	4.3551e4	0
1200	2064	7.60156	414.356949	5.3751e4	0
1200	2064	7.60156	414.844161	6.9923e4	5
1200	2064	7.60156	414.875911	5.0787e4	6
1200	2064	7.60156	415.041059	9.0074e4	5
1200	2064	7.60156	415.198009	5.0886e5	0
1200	2064	7.60156	415.940289	5.4210e4	0
1200	2064	7.60156	416.034348	2.0178e5	6
1200	2064	7.60156	416.201440	4.8055e4	6
1200	2064	7.60156	416.226019	3.6367e5	2
1200	2064	7.60156	416.727951	9.4990e4	2
1200	2064	7.60156	417.122190	6.7367e4	0
1200	2064	7.60156	417.218452	5.1245e4	0
1200	2064	7.60156	418.865098	5.3323e4	0
1200	2064	7.60156	419.047730	2.7740e5	0
1200	2064	7.60156	419.319745	1.2582e5	0
1200	2064	7.60156	420.031881	6.1254e4	0
1200	2064	7.60156	421.063266	3.4737e7	0
1200	2064	7.60156	421.198454	1.2322e5	0
1200	2064	7.60156	422.064396	4.6665e6	0
1200	2064	7.60156	422.532122	6.1476e4	0
1200	2064	7.60156	423.059681	6.7406e6	6
1200	2064	7.60156	423.228345	3.4492e5	6
1200	2064	7.60156	424.060912	1.0536e6	6
1200	2064	7.60156	424.225910	2.6157e5	6
1200	2064	7.60156	424.541784	1.0251e6	3
1200	2064	7.60156	424.876179	9.8218e5	3
1200	2064	7.60156	425.048976	5.1591e5	6
1200	2064	7.60156	425.215306	2.6458e5	6
1200	2064	7.60156	425.292185	1.5538e5	0
1200	2064	7.60156	426.018164	6.3414e4	0
1200	2064	7.60156	427.060610	2.6147e5	0
1200	2064	7.60156	429.093242	1.3769e6	0
1200	2064	7.60156	430.093457	4.4713e5	0
1200	2064	7.60156	431.090223	2.5704e5	0
1200	2064	7.60156	431.869734	6.1143e4	0
1200	2064	7.60156	432.029334	1.0139e5	0
1200	2064	7.60156	434.184735	1.1628e5	2
1200	2064	7.60156	434.686727	5.6308e4	2
1200	2064	7.60156	434.875064	1.1596e5	6
1200	2064	7.60156	435.042112	7.5791e4	6
1200	2064	7.60156	435.132938	2.0879e5	0
1200	2064	7.60156	435.205146	1.0829e5	6
1200	2064	7.60156	435.539281	5.4066e4	3
1200	2064	7.60156	435.920465	7.5912e4	0
1200	2064	7.60156	436.047007	5.4985e4	0
1200	2064	7.60156	437.058491	2.0720e6	0
1200	2064	7.60156	437.129100	9.6147e4	0
1200	2064	7.60156	438.061676	2.5188e5	0
1200	2064	7.60156	438.695579	1.9164e6	2
1200	2064	7.60156	438.846581	8.1367e4	0
1200	2064	7.60156	439.054300	2.5061e5	0
1200	2064	7.60156	439.194680	1.0959e6	2
1200	2064	7.60156	439.693150	3.1439e5	2
1200	2064	7.60156	440.189910	1.3838e5	2
1200	2064	7.60156	440.692751	1.0400e5	2
1200	2064	7.60156	441.009253	5.9448e4	0
1200	2064	7.60156	441.029879	8.7195e4	3
1200	2064	7.60156	441.187957	6.1064e4	0
1200	2064	7.60156	441.301077	5.7302e4	0
1200	2064	7.60156	442.205377	1.2834e5	0
1200	2064	7.60156	442.410563	5.5228e4	0
1200	2064	7.60156	442.714801	2.6946e5	2
1200	2064	7.60156	442.903906	4.9444e4	0
1200	2064	7.60156	443.045550	9.2547e7	3
1200	2064	7.60156	443.144435	6.0038e4	0
1200	2064	7.60156	443.190123	1.0006e5	0
1200	2064	7.60156	443.217646	1.2415e5	2
1200	2064	7.60156	443.411056	6.2800e4	0
1200	2064	7.60156	443.430761	5.9220e4	0
1200	2064	7.60156	444.045470	1.3817e7	0
1200	2064	7.60156	445.041416	1.7269e7	0
1200	2064	7.60156	445.124512	2.8738e6	0
1200	2064	7.60156	445.261313	1.0117e5	0
1200	2064	7.60156	445.916976	7.4633e4	0
1200	2064	7.60156	446.041802	2.3334e6	0
1200	2064	7.60156	446.125004	8.0843e5	0
1200	2064	7.60156	446.693505	8.7125e4	0
1200	2064	7.60156	447.037794	1.1249e6	0
1200	2064	7.60156	447.119780	4.4294e5	0
1200	2064	7.60156	447.185262	7.6854e4	6
1200	2064	7.60156	447.351566	1.0734e5	6
1200	2064	7.60156	447.847333	8.0886e4	0
1200	2064	7.60156	448.040699	1.4589e5	0
1200	2064	7.60156	448.121597	1.4538e5	0
1200	2064	7.60156	448.260166	1.7699e6	0
1200	2064	7.60156	449.094808	7.3679e4	6
1200	2064	7.60156	449.263646	3.5407e5	6
1200	2064	7.60156	450.201790	6.9213e4	0
1200	2064	7.60156	450.266588	8.2199e4	0
1200	2064	7.60156	450.384013	5.3956e4	3
1200	2064	7.60156	450.716668	1.9299e5	2
1200	2064	7.60156	450.840140	1.2612e5	0
1200	2064	7.60156	451.030936	6.4500e4	0
1200	2064	7.60156	451.218728	1.2235e5	2
1200	2064	7.60156	451.378357	6.0678e4	0
1200	2064	7.60156	451.818456	5.4863e4	0
1200	2064	7.60156	452.885768	3.6991e5	6
1200	2064	7.60156	453.053579	4.5828e5	6
1200	2064	7.60156	453.261377	5.4342e4	0
1200	2064	7.60156	454.473230	6.1455e4	0
1200	2064	7.60156	454.691328	8.1158e4	0
1200	2064	7.60156	455.049176	8.1514e4	0
1200	2064	7.60156	456.297645	1.1656e5	0
1200	2064	7.60156	456.851650	1.8011e5	0
1200	2064	7.60156	457.061737	9.9453e4	0
1200	2064	7.60156	457.300796	6.7337e4	0
1200	2064	7.60156	458.056309	5.2841e4	0
1200	2064	7.60156	459.035327	1.0655e7	0
1200	2064	7.60156	459.164734	5.2040e4	0
1200	2064	7.60156	459.270641	7.8558e4	0
1200	2064	7.60156	460.038231	1.3458e6	0
1200	2064	7.60156	460.244579	9.0725e4	0
1200	2064	7.60156	460.873747	5.5288e4	0
1200	2064	7.60156	461.030268	1.8991e6	0
1200	2064	7.60156	462.039626	1.2519e5	0
1200	2064	7.60156	462.090644	1.5086e5	0
1200	2064	7.60156	462.151528	3.0474e5	0
1200	2064	7.60156	462.688705	6.6420e4	2
1200	2064	7.60156	462.884072	9.5098e4	0
1200	2064	7.60156	463.150764	6.3922e4	0
1200	2064	7.60156	463.189279	8.9985e4	2
1200	2064	7.60156	464.067623	3.8170e5	0
1200	2064	7.60156	465.027909	2.5013e5	0
1200	2064	7.60156	465.072894	1.0690e5	0
1200	2064	7.60156	467.229746	1.3217e5	0
1200	2064	7.60156	468.296432	9.8441e4	0
1200	2064	7.60156	469.893360	7.1551e4	0
1200	2064	7.60156	469.980736	1.3371e5	0
1200	2064	7.60156	470.241779	1.3614e5	0
1200	2064	7.60156	470.829941	6.5698e4	4
1200	2064	7.60156	471.077361	3.4296e5	4
1200	2064	7.60156	473.975375	2.9106e5	0
1200	2064	7.60156	475.034501	2.5806e6	0
1200	2064	7.60156	475.110798	2.9158e5	0
1200	2064	7.60156	475.263844	1.2527e5	2
1200	2064	7.60156	475.401521	5.8681e4	0
1200	2064	7.60156	475.765485	9.2741e4	2
1200	2064	7.60156	476.000139	6.8019e4	0
1200	2064	7.60156	476.038453	3.2127e5	0
1200	2064	7.60156	476.276413	1.3875e5	0
1200	2064	7.60156	476.881717	6.6723e4	0
1200	2064	7.60156	476.984075	6.9761e4	0
1200	2064	7.60156	477.031749	4.1013e5	0
1200	2064	7.60156	477.107096	6.6939e4	0
1200	2064	7.60156	477.828509	1.4470e5	0
1200	2064	7.60156	478.979030	7.0463e4	0
1200	2064	7.60156	479.220227	1.0301e5	0
1200	2064	7.60156	480.993100	2.8273e5	0
1200	2064	7.60156	483.783415	9.6702e4	0
1200	2064	7.60156	484.072485	2.2896e5	0
1200	2064	7.60156	485.076805	6.5782e4	0
1200	2064	7.60156	486.051904	1.5268e6	0
1200	2064	7.60156	486.224456	1.6259e5	0
1200	2064	7.60156	487.010279	1.7296e5	0
1200	2064	7.60156	487.063233	2.0044e5	0
1200	2064	7.60156	488.047624	3.0928e5	0
1200	2064	7.60156	491.031071	1.7517e5	0
1200	2064	7.60156	492.223487	1.2771e5	0
1200	2064	7.60156	493.789360	6.8641e4	0
1200	2064	7.60156	494.785866	7.6113e4	0
1200	2064	7.60156	495.837832	1.4408e5	0
1200	2064	7.60156	495.957800	1.5663e5	0
1200	2064	7.60156	496.839383	9.0610e4	0
1200	2064	7.60156	496.958594	8.1119e4	0
1200	2064	7.60156	498.260722	8.8681e4	0
1200	2064	7.60156	498.965012	6.1524e4	0
1200	2064	7.60156	499.831985	7.5276e4	0
1200	2064	7.60156	501.253165	1.1135e5	0
1200	2064	7.60156	501.410034	8.0122e4	0
1200	2064	7.60156	502.046463	7.8356e4	0
1200	2064	7.60156	502.975296	2.1198e5	0
1200	2064	7.60156	503.066322	9.3548e4	0
1200	2064	7.60156	503.112786	5.8083e5	0
1200	2064	7.60156	503.381915	6.8659e4	0
1200	2064	7.60156	503.838388	6.3060e4	0
1200	2064	7.60156	504.112858	2.9415e5	0
1200	2064	7.60156	505.109831	1.0803e5	0
1200	2064	7.60156	505.869955	5.9216e4	0
1200	2064	7.60156	505.966701	6.7851e4	0
1200	2064	7.60156	506.233427	1.1694e5	0
1200	2064	7.60156	507.100923	1.4742e5	0
1200	2064	7.60156	507.238430	2.4099e6	2
1200	2064	7.60156	507.740093	1.4240e6	2
1200	2064	7.60156	507.793896	7.3916e4	0
1200	2064	7.60156	508.025219	7.1435e4	0
1200	2064	7.60156	508.241733	4.3284e5	2
1200	2064	7.60156	508.743174	7.7518e4	2
1200	2064	7.60156	509.298392	6.6879e4	0
1200	2064	7.60156	510.411952	5.9905e4	0
1200	2064	7.60156	512.830056	9.4980e4	0
1200	2064	7.60156	513.305325	6.9809e4	0
1200	2064	7.60156	513.429752	6.4765e4	0
1200	2064	7.60156	514.228388	1.3395e5	0
1200	2064	7.60156	514.746637	2.0452e5	0
1200	2064	7.60156	515.236018	2.2547e5	2
1200	2064	7.60156	515.266428	1.0647e5	0
1200	2064	7.60156	515.736990	7.4843e4	2
1200	2064	7.60156	517.939530	6.4373e4	0
1200	2064	7.60156	518.227853	4.3027e5	0
1200	2064	7.60156	518.940700	7.8481e4	5
