scan_index	one_based_scan	rt	mz	intensity	charge
1200	2064	7.60156	376.840790	2.0830e4	1
1200	2064	7.60156	376.903046	8.4736e4	0
1200	2064	7.60156	377.175842	1.2273e4	3
1200	2064	7.60156	377.842957	1.3046e4	1
1200	2064	7.60156	377.902313	2.9070e4	0
1200	2064	7.60156	380.839233	2.7256e4	1
1200	2064	7.60156	381.025543	2.4474e4	6
1200	2064	7.60156	381.062256	3.6707e4	0
1200	2064	7.60156	381.185089	9.2307e4	3
1200	2064	7.60156	381.192169	3.7290e4	6
1200	2064	7.60156	381.512726	3.2778e4	0
1200	2064	7.60156	381.519409	1.1432e5	3
1200	2064	7.60156	381.843048	1.0270e5	1
1200	2064	7.60156	381.853851	3.3575e4	3
1200	2064	7.60156	381.878632	2.2450e4	0
1200	2064	7.60156	382.177185	2.7133e4	3
1200	2064	7.60156	384.007446	2.6474e4	6
1200	2064	7.60156	384.177002	1.7838e4	6
1200	2064	7.60156	385.041840	3.9685e4	5
1200	2064	7.60156	385.165894	7.9975e4	1
1200	2064	7.60156	385.239044	2.0484e4	5
1200	2064	7.60156	385.259460	3.2072e4	0
1200	2064	7.60156	385.962830	1.4072e4	0
1200	2064	7.60156	386.023529	1.5606e5	0
1200	2064	7.60156	386.168945	2.2144e4	1
1200	2064	7.60156	386.207062	4.6611e4	1
1200	2064	7.60156	386.850616	3.4196e4	3
1200	2064	7.60156	387.075226	1.8842e4	5
1200	2064	7.60156	387.144531	1.2836e4	0
1200	2064	7.60156	387.185638	2.2491e4	3
1200	2064	7.60156	387.210266	1.5626e4	1
1200	2064	7.60156	387.275513	4.7261e4	5
1200	2064	7.60156	388.019287	2.7645e4	0
1200	2064	7.60156	389.090759	3.1339e4	3
1200	2064	7.60156	389.404663	1.5560e4	0
1200	2064	7.60156	389.423950	1.4403e4	3
1200	2064	7.60156	389.845154	2.5064e4	3
1200	2064	7.60156	390.179626	1.6901e4	3
1200	2064	7.60156	390.902802	2.7770e4	3
1200	2064	7.60156	391.237885	5.5608e4	1
1200	2064	7.60156	391.288116	6.6586e4	1
1200	2064	7.60156	391.848297	2.2651e4	0
1200	2064	7.60156	392.241486	2.1989e4	1
1200	2064	7.60156	392.291443	2.4613e4	1
1200	2064	7.60156	392.506561	1.2999e4	0
1200	2064	7.60156	392.517456	1.9223e4	0
