mono_mass	mz	charge	rt	intensity	intensity_decile	category	nearest_rtmatch_rt_delta_min	nearest_rtmatch_charge	closest_by_mass_ppm	closest_by_mass_rt_delta_min	closest_by_mass_charge
1538.90319	513.97516	3	159.5205	5.8427e+04	1	rt_miss	-13.1510	3	15.33	-87.1824	3
1656.84580	829.43359	2	149.0271	6.1530e+04	1	rt_miss	-3.1123	2	19.44	-80.3946	3
1574.71724	525.91339	3	25.2764	6.9536e+04	1	rt_miss	-0.9727	2;3	-18.95	10.8487	3
1635.82317	546.28302	3	121.7893	9.7422e+04	1	rt_miss	-0.3924	3	17.26	-58.0648	3
1898.02482	634.01794	3	145.0465	9.9063e+04	1	rt_miss	1.1605	2	18.10	-26.3569	2
3010.56247	753.89777	4	140.6377	1.0411e+05	1	rt_miss	-0.6390	3	17.51	-36.2847	3
1528.82897	510.61707	3	125.0934	1.0575e+05	1	rt_miss	-12.2474	3	16.28	-68.1164	2
1084.61282	543.31335	2	126.5673	1.1484e+05	1	rt_miss	-1.3909	2	18.80	-81.7944	2
2198.93458	1100.97827	2	25.4198	1.1584e+05	1	rt_miss	5.7526	4	-18.65	39.6546	4
1089.60701	545.81091	2	119.6157	1.1869e+05	1	rt_miss	0.4216	2	18.56	-3.3548	2
1742.81201	872.41357	2	149.2062	1.2107e+05	1	rt_miss	-5.0567	2	-18.44	-49.5586	2
1218.66084	610.33893	2	140.1262	1.2288e+05	1	rt_miss	0.3343	2	-19.93	-95.6859	3
3061.58595	1021.87268	3	148.5297	1.2553e+05	1	rt_miss	-1.4500	3	13.89	-99.0962	6
1731.84412	433.96869	4	26.1902	1.2572e+05	1	rt_miss	2.5351	3	-18.84	37.2101	2
2137.06513	713.69849	3	25.7197	1.2861e+05	1	rt_miss	-0.5892	3;4	-19.08	28.4871	4
2203.00110	552.00928	4	25.3888	1.2955e+05	1	rt_miss	1.2173	3	19.93	88.5588	4
1700.89850	851.45978	2	149.4330	1.3348e+05	1	rt_miss	-5.5559	2;3	-19.64	-26.1365	2
1402.74563	468.58856	3	96.6985	1.3703e+05	1	rt_miss	-0.5019	2;3	19.54	19.3584	2
2779.43335	696.11566	4	122.0740	1.4054e+05	1	rt_miss	-0.6225	4	12.19	-28.5229	4
2279.30417	571.08453	4	110.4019	1.4071e+05	1	rt_miss	-0.5926	4	15.04	-31.3143	4
985.59605	493.80591	2	106.1274	1.4291e+05	1	rt_miss	-0.3295	2	-15.30	-39.9573	2
1175.64379	588.83038	2	130.4292	1.4433e+05	1	rt_miss	-0.6708	2	-15.96	-75.8018	2
863.45012	432.73117	2	39.9068	1.4561e+05	1	rt_miss	4.9849	1;2	17.40	100.0610	1
1656.84580	829.43304	2	156.7370	1.4643e+05	1	rt_miss	-2.8677	2	19.44	-88.1045	3
1696.89304	566.63879	3	113.3148	1.4710e+05	1	rt_miss	-0.3598	3	18.79	-33.7912	2;3
2412.18559	604.30713	4	73.2068	1.5329e+05	1	rt_miss	0.5073	4	18.46	25.6232	3
1793.94243	598.98932	3	109.1192	1.5578e+05	1	rt_miss	3.1506	4	-16.41	23.9356	2
1808.02683	603.68414	3	99.0664	1.5619e+05	1	rt_miss	-15.0683	4	-2.88	-26.2415	3
2594.35266	649.84680	4	147.4500	1.5746e+05	1	rt_miss	-0.3200	4	15.98	-5.4640	4
1944.99453	974.00739	2	148.6189	1.5978e+05	1	rt_miss	-2.1538	3	-19.74	-48.3925	3
799.51674	400.76624	2	90.5276	1.6107e+05	1	rt_miss	-0.3257	2	-10.21	-22.5459	2
1443.69539	722.85748	2	24.9985	1.6220e+05	1	rt_miss	-0.4054	2	-19.35	34.9513	2
1961.01459	982.01941	2	146.0042	1.6318e+05	1	rt_miss	0.3084	3	18.57	-29.8308	2
1782.83842	595.28705	3	25.2232	1.6570e+05	1	rt_miss	-1.3590	3;4	19.20	74.9871	2
2022.00332	675.34521	3	133.3320	1.6619e+05	1	rt_miss	-0.3813	2;3	-19.56	-5.1272	4
1931.93372	644.98718	3	24.7385	1.6874e+05	1	rt_miss	-0.3518	3	19.44	82.0658	3
1291.67134	431.56470	3	98.4633	1.7156e+05	1	rt_miss	-0.4331	3	13.76	-69.9420	3
1609.86503	537.62982	3	103.4028	1.7192e+05	1	rt_miss	0.4200	3	19.59	12.1721	3
1569.88788	785.95367	2	158.8171	1.7354e+05	1	rt_miss	-10.1656	2	18.99	-39.6237	2
1093.71108	547.86414	2	132.7896	1.7426e+05	1	rt_miss	-0.3998	2	-0.05	-0.3998	2
1174.65977	588.33862	2	125.4733	1.7576e+05	1	rt_miss	-0.3799	2	18.91	-92.3705	2
1207.64235	604.82910	2	120.9921	1.7590e+05	1	rt_miss	-3.5151	2	-18.37	-84.5648	3
1220.67649	611.34784	2	98.5846	1.7982e+05	1	rt_miss	1.4039	2	19.89	-52.9270	3
954.48108	478.24884	2	72.9156	1.8047e+05	1	rt_miss	1.9414	1	16.98	19.8719	2
1961.01459	982.01965	2	149.1009	1.8073e+05	1	rt_miss	-2.7883	3	18.57	-32.9275	2
1168.70673	585.36243	2	154.0763	1.8770e+05	1	rt_miss	-6.8276	2	5.18	-42.1728	1;2
1538.90319	513.97528	3	137.5506	1.9005e+05	1	rt_miss	-0.4334	3	15.33	-65.2125	3
1163.60874	582.81152	2	102.1590	1.9110e+05	1	rt_miss	0.3667	2	-17.63	-48.1082	2
1961.01459	982.01782	2	148.3169	1.9264e+05	1	rt_miss	-2.0043	3	18.57	-32.1435	2
1700.89850	851.45844	2	147.2234	1.9288e+05	1	rt_miss	-3.3463	2;3	-19.64	-23.9269	2
1279.60782	640.81152	2	27.7461	1.9717e+05	1	rt_miss	1.1203	2	17.51	22.9801	2
1168.70673	585.36121	2	154.1599	1.9803e+05	1	rt_miss	-6.9112	2	5.18	-42.2564	1;2
1251.59830	626.80670	2	95.1261	1.9826e+05	1	rt_miss	-2.6656	2	19.80	-55.2107	2
1486.87189	744.44403	2	155.2087	1.9911e+05	1	rt_miss	-6.4189	2	-14.18	-38.1953	2
1569.88788	785.95355	2	157.5308	1.9951e+05	1	rt_miss	-8.8793	2	18.99	-38.3374	2
1978.87897	660.63568	3	25.5552	2.0049e+05	1	rt_miss	28.4870	3	-5.42	50.6769	3
1569.88788	785.95435	2	159.3266	2.0185e+05	1	rt_miss	-10.6751	2	18.99	-40.1332	2
1961.01459	982.01971	2	150.5103	2.0206e+05	1	rt_miss	-4.1977	3	18.57	-34.3369	2
3061.58595	1021.87207	3	155.7656	2.0382e+05	1	rt_miss	-3.7634	3	13.89	-106.3321	6
1204.65642	402.55978	3	44.3231	2.0416e+05	1	rt_miss	6.1572	2;3	13.72	64.4667	2
1499.79053	750.90521	2	143.6595	2.0673e+05	1	rt_miss	1.0813	2	18.74	1.0813	2
1656.84580	829.43164	2	155.2511	2.0684e+05	1	rt_miss	-1.3818	2	19.44	-86.6186	3
2100.04287	701.35773	3	116.8213	2.0717e+05	1	rt_miss	2.2334	2	17.76	-82.6123	3
1239.68364	414.23547	3	31.0425	2.0821e+05	1	rt_miss	0.8850	2	17.01	5.8336	3
1048.54408	525.27991	2	117.3953	2.0870e+05	1	rt_miss	-2.0048	2	19.69	-36.7918	2
2019.09418	674.37476	3	137.3587	2.1155e+05	1	rt_miss	-1.6818	3	9.50	-24.5932	3
1252.75032	627.38275	2	107.7561	2.1207e+05	1	rt_miss	-0.7872	1;2	9.97	-51.5800	2;3
1674.83994	559.28821	3	133.3989	2.1257e+05	1	rt_miss	1.3584	3	17.64	-8.2746	2
2019.05780	674.36407	3	133.2874	2.1545e+05	1	rt_miss	0.6292	3	17.82	-85.5938	3
3061.58595	1021.87457	3	149.5874	2.1604e+05	1	rt_miss	1.7510	3	13.89	-100.1539	6
1742.81201	872.41437	2	146.5966	2.1950e+05	1	rt_miss	-2.4471	2	-18.44	-46.9490	2
1016.55022	509.28201	2	48.5918	2.2235e+05	1	rt_miss	-1.3943	2	14.87	-5.3026	2
1133.53530	567.77606	2	25.8256	2.2283e+05	1	rt_miss	1.5910	1;2	-13.94	15.0119	2
1656.84580	829.43219	2	153.2860	2.2383e+05	1	rt_miss	0.5833	2	19.44	-84.6535	3
1453.77516	485.59921	3	86.6233	2.2926e+05	1	rt_miss	0.4731	3	-14.30	-26.0931	2
1837.00576	613.34454	3	62.8489	2.2978e+05	1	rt_miss	-0.4950	3	-19.36	-11.2943	2
1961.01459	982.01776	2	149.4242	2.3045e+05	1	rt_miss	-3.1116	3	18.57	-33.2508	2
1339.77112	670.89368	2	133.9166	2.3226e+05	1	rt_miss	-1.1889	1;2	-18.87	-86.5032	3
1656.84580	829.43201	2	155.6820	2.3316e+05	1	rt_miss	-1.8127	2	19.44	-87.0495	3
1569.88788	785.95331	2	155.6499	2.3482e+05	1	rt_miss	-6.9984	2	18.99	-36.4565	2
2228.16886	744.06390	3	103.4512	2.3584e+05	1	rt_miss	-3.0933	3	16.04	12.6887	3
1303.80884	435.61044	3	69.7170	2.3626e+05	1	no_mass_candidate			-22.21	68.6979	2
1385.76670	693.89050	2	146.8847	2.3940e+05	1	rt_miss	-2.3289	2	14.79	-47.5245	2
1685.89481	562.97369	3	30.7422	2.3968e+05	1	rt_miss	-0.7265	3	-19.44	81.6346	2
1363.60379	682.81036	2	26.6185	2.4112e+05	1	rt_miss	0.5102	2;3	-19.24	57.6426	2
1398.71031	700.36243	2	105.6815	2.4256e+05	1	rt_miss	-2.6899	3	19.28	-61.8088	2
1225.59388	613.80603	2	24.9133	2.4270e+05	1	rt_miss	11.7267	2	-17.73	26.5076	2;3
1486.87189	744.44293	2	157.6881	2.4368e+05	1	rt_miss	-8.8983	2	-14.18	-40.6747	2
799.52797	400.77142	2	55.4410	2.4527e+05	1	rt_miss	-4.0806	2	0.18	-4.0806	2
1486.87189	744.44281	2	156.7370	2.4668e+05	1	rt_miss	-7.9472	2	-14.18	-39.7236	2
