Refined Monoisotopic Mass	Charge	Apex RT	Summed Intensity	Decon Score	Num Candidate Masses	Detector Mono Mass
841.50577	2	45.6576	1.1375e11	9.9465e-1	1	1683.01154
1953.05752	3	75.7786	7.1623e10	9.7824e-1	1	1953.05752
1197.70373	3	58.2247	5.3221e10	9.9886e-1	1	1197.70373
952.60062	2	83.9672	5.0094e10	9.8995e-1	1	952.60062
1024.60971	2	58.7641	4.9940e10	9.8986e-1	1	1024.60971
974.54776	2	62.3786	4.9662e10	9.8984e-1	1	974.54776
2514.38747	3	115.6528	4.9552e10	9.9480e-1	1	2514.38747
1131.52622	2	42.3453	4.8512e10	9.9840e-1	1	1131.52622
1092.52463	2	45.4104	4.6257e10	9.9844e-1	1	1092.52463
1494.78777	3	47.0742	4.4397e10	9.9506e-1	1	1494.78777
1789.89731	2	103.4028	4.3302e10	9.9769e-1	1	1789.89731
1427.71079	2	53.3119	4.3045e10	9.9625e-1	1	1427.71079
1160.61741	2	60.1881	4.1520e10	9.9765e-1	1	1160.61741
1324.75503	3	43.6140	4.0697e10	9.9641e-1	1	1324.75503
988.57627	2	87.2022	3.7275e10	9.9030e-1	1	988.57627
3198.61476	4	107.3583	3.7246e10	9.9667e-1	1	3198.61476
1538.91225	3	85.2760	3.4771e10	9.9566e-1	1	1538.91225
842.49979	2	45.6576	3.4663e10	9.8381e-1	1	1684.99958
1515.70711	3	34.9767	3.4074e10	9.9578e-1	1	1515.70711
1660.94930	3	71.7542	3.2690e10	9.9196e-1	1	1660.94930
943.52799	2	70.5450	3.0777e10	9.9078e-1	1	943.52799
1179.61643	2	63.0306	3.0102e10	9.9837e-1	1	1179.61643
913.56266	2	45.1863	2.8867e10	9.9182e-1	1	1827.12531
1120.58188	2	72.4855	2.8063e10	9.9896e-1	1	1120.58188
1843.90133	3	50.0745	2.7833e10	9.9854e-1	1	1843.90133
3182.63966	4	114.7249	2.7295e10	8.3622e-1	1	3182.63966
1168.71299	2	111.9035	2.6858e10	9.9860e-1	1	1168.71299
1322.61350	2	52.8201	2.6320e10	9.9650e-1	1	1322.61350
1324.74875	2	43.6140	2.6249e10	9.9688e-1	1	1324.74875
1494.78171	2	47.0742	2.6231e10	9.9446e-1	1	1494.78171
1172.63144	2	50.9780	2.5249e10	9.9886e-1	1	1172.63144
