Detected m/z (primary)	RT Start	RT Apex	RT End	Charge States	Per-Charge Detected m/z	Num Charge States	Primary Charge	Monoisotopic Mass	Mono m/z (primary)	Summed Intensity	Cross-Charge Support	Num Members
421.76016	45.1690	45.6576	46.1542	1;2	z1:842.5108;z2:421.7602	2	2	841.50556	421.76006	1.6035e11	2	3
652.36090	75.2148	75.7786	76.2754	2;3;4	z2:978.0396;z3:652.3609;z4:489.2723	3	3	1953.05842	652.02675	9.3830e10	3	5
442.59229	43.2658	43.6140	44.1065	1;2;3	z1:1325.7546;z2:663.3817;z3:442.5923	3	3	1324.75255	442.59146	9.0282e10	3	5
499.26987	46.5942	47.0742	47.5667	1;2;3	z1:1495.7856;z2:748.3981;z3:499.2699	3	3	1494.78551	499.26911	7.9096e10	3	5
513.31213	58.4130	58.7641	59.2592	1;2	z1:1025.6125;z2:513.3121	2	2	1024.60945	513.31200	7.4168e10	2	3
796.91803	114.0739	114.7249	115.2148	3;4;5	z3:1062.2129;z4:796.9180;z5:637.7309	3	4	3182.61946	796.66214	7.1988e10	3	10
400.24185	57.6774	58.2247	58.7109	1;2;3	z1:1198.7092;z2:599.8572;z3:400.2419	3	3	1197.70278	400.24154	7.0991e10	3	3
839.47089	115.1640	115.6528	116.1399	2;3;4	z2:1258.6980;z3:839.4709;z4:630.1039	3	3	2514.38370	839.13518	6.2622e10	3	5
506.24298	34.5578	34.9767	35.4764	2;3	z2:758.8564;z3:506.2430	2	3	1515.70471	506.24218	5.9415e10	2	7
477.30759	83.4729	83.9672	84.4629	1;2	z1:953.6036;z2:477.3076	2	2	952.60039	477.30747	5.8240e10	2	3
566.77039	42.1123	42.3453	42.8696	1;2	z1:1132.5287;z2:566.7704	2	2	1131.52573	566.77014	5.4058e10	2	2
513.97803	84.7850	85.2760	85.7637	2;3	z2:770.4594;z3:513.9780	2	3	1538.91024	513.97736	5.3363e10	2	3
488.28116	61.8909	62.3786	62.8909	1;2	z1:975.5524;z2:488.2812	2	2	974.54759	488.28107	5.3097e10	2	3
547.26959	44.9164	45.4104	45.9042	1;2	z1:1093.5286;z2:547.2696	2	2	1092.52441	547.26948	5.2713e10	2	3
