mono_mass	mz	charge	rt	intensity	detection
1789.88464	895.9526977539062	2	103.3233	1012838274.3874125	MSMS
1427.70449	714.8626708984375	2	53.3119	909004967.9910448	MSMS
1024.60293	513.309814453125	2	58.6085	888309328.0933735	MSMS
1092.51999	547.26904296875	2	45.5019	829937979.4005507	MSMS
1160.61111	581.3141479492188	2	60.2992	763848719.4966581	MSMS
913.55967	457.787353515625	2	45.2731	755621902.426358	MSMS
1930.16153	966.591796875	2	143.2838	682999592.510122	MSMS
1120.57644	561.2965698242188	2	72.5895	650999410.4009968	MSMS
974.54368	488.27996826171875	2	62.5941	602386946.5008197	MSMS
943.52395	472.76995849609375	2	70.6875	593275639.6112025	MSMS
1410.78308	706.401611328125	2	74.4084	576458017.4097632	MSMS
1322.61026	662.3140258789062	2	52.8201	570980979.5265571	MSMS
1324.74630	663.3816528320312	2	43.6140	559450992.7390623	MSMS
988.57057	495.29339599609375	2	87.3336	549736174.4132086	MSMS
1131.51965	566.7686157226562	2	42.6311	543044134.9097764	MSMS
1179.61355	590.8154907226562	2	63.0306	537819905.4333084	MSMS
2514.37675	839.4697875976562	3	115.6108	537012832.7271495	MSMS
1953.05713	652.361083984375	3	76.1368	526680700.87532496	MSMS
1700.89850	851.4586791992188	2	130.0347	514219794.4512761	MSMS
975.53893	488.7788391113281	2	62.3947	504075588.936347	MSMS
1168.70673	585.3629150390625	2	111.9927	503894144.1650593	MSMS
1424.71875	713.3681030273438	2	106.3899	482214776.0733784	MSMS
944.54435	473.2802429199219	2	80.5269	463584654.36308515	MSMS
1241.69795	621.8582153320312	2	88.9261	461879524.3955527	MSMS
952.59572	477.306640625	2	83.8372	442445044.53141993	MSMS
906.51747	454.2669982910156	2	65.2847	430495006.32034725	MSMS
1221.58773	611.8026733398438	2	38.0723	417339541.6747391	MSMS
999.56006	500.788330078125	2	55.1392	412155385.23526204	MSMS
1532.84501	767.4314575195312	2	90.9361	403381264.973095	MSMS
1140.60265	571.3106689453125	2	79.0083	401777046.4000796	MSMS
1823.97815	912.9993896484375	2	96.3503	392248962.0418868	MSMS
898.54877	450.2822570800781	2	48.1026	386740795.0546234	MSMS
1308.59863	655.30908203125	2	66.4310	385492179.8632454	MSMS
3182.60703	796.91357421875	4	114.8475	383924408.3595299	MSMS
1172.62887	587.322998046875	2	50.9780	383750991.8949187	MSMS
1014.57096	508.294677734375	2	65.8829	383027346.6455377	MSMS
1569.88788	785.9528198242188	2	143.3149	379816853.654479	MSMS
1340.71222	671.3644409179688	2	79.1259	376713684.1891976	MSMS
1128.61389	565.315185546875	2	69.5625	367851155.9568303	MSMS
1687.81993	563.6163330078125	3	70.8513	363775825.68095875	MSMS
1494.77906	748.3981323242188	2	47.0742	363766456.301459	MSMS
1667.83663	556.9550170898438	3	74.5721	362094609.8728528	MSMS
1835.79220	612.9409790039062	3	36.2812	354808113.9681242	MSMS
1733.80766	578.945068359375	3	57.6043	353720152.21594775	MSMS
1336.61870	669.3173828125	2	62.7848	342481975.56728905	MSMS
1959.90366	654.6443481445312	3	84.6882	339168814.73719424	MSMS
1658.88794	830.4537353515625	2	122.2073	333800332.61378986	MSMS
1823.97815	912.9989013671875	2	96.4421	333762091.9247883	MSMS
1309.69517	655.8563232421875	2	113.1885	330882594.33652776	MSMS
1196.64010	599.3281860351562	2	73.6089	325479564.5938108	MSMS
1198.66699	600.3427734375	2	101.6111	319164797.6159629	MSMS
997.47903	499.7486572265625	2	106.5605	315575981.11006373	MSMS
1253.55980	627.7890625	2	64.8997	315123165.9819499	MSMS
1538.90319	513.9765014648438	3	85.3417	314979338.55326277	MSMS
1197.69823	400.24114990234375	3	58.0032	312788762.49758446	MSMS
928.57459	465.29510498046875	2	92.0418	312351358.988925	MSMS
1660.93997	554.6549682617188	3	71.9156	311834184.61988455	MSMS
1378.70924	690.3629150390625	2	60.3844	309105417.57437015	MSMS
1405.70891	703.8631591796875	2	92.0418	308734830.4589849	MSMS
1040.59784	521.30712890625	2	60.0270	308203376.0876324	MSMS
1331.69326	666.8536987304688	2	55.7504	307695762.57557034	MSMS
1486.69399	744.3561401367188	2	67.5770	304399833.6209152	MSMS
1403.71975	702.868408203125	2	64.0116	303450016.9502253	MSMS
1136.57135	569.293701171875	2	52.8201	293984388.5175951	MSMS
869.42832	435.721923828125	2	40.6123	293400729.1145341	MSMS
1110.54581	556.28076171875	2	58.0527	292365777.8158186	MSMS
2464.28496	822.7730712890625	3	116.9056	291959662.80284524	MSMS
1494.77906	499.26861572265625	3	47.3418	287081485.81884223	MSMS
1136.53899	569.2778930664062	2	56.9770	286263002.62487227	MSMS
890.41677	446.2146911621094	2	43.7762	282177238.9021985	MSMS
1248.60986	625.3133544921875	2	41.2720	281595621.3580152	MSMS
713.33844	714.3466186523438	1	89.7274	279935483.2728666	MSMS
1114.56185	558.2892456054688	2	47.7443	277694438.3911924	MSMS
1586.79001	529.9393920898438	3	40.3375	277576821.30052155	MSMS
1210.66699	606.34130859375	2	72.1341	277277932.0470824	MSMS
1843.89521	615.6410522460938	3	50.0745	276066251.0836937	MSMS
1291.65206	646.834228515625	2	46.9912	275858100.6208378	MSMS
1717.87475	573.6336669921875	3	58.4551	272635317.39176357	MSMS
839.52289	420.7691650390625	2	48.3717	271065032.0528823	MSMS
1300.62993	651.323486328125	2	47.7579	270217837.2784534	MSMS
1162.62339	582.3201904296875	2	80.8404	265505964.44073877	MSMS
1515.69539	506.2406311035156	3	35.2610	264183356.73458764	MSMS
1309.69517	655.8562622070312	2	113.0687	256256556.3327362	MSMS
1688.82171	563.9479370117188	3	70.8513	255271716.50102374	MSMS
1378.74965	460.5913391113281	3	90.3801	254309544.32789227	MSMS
1445.68204	723.849609375	2	53.1337	251632534.7813628	MSMS
830.48617	416.25067138671875	2	52.3294	250812943.1041867	MSMS
1418.74054	710.3802490234375	2	124.6912	248195522.4166671	MSMS
1938.95345	647.32568359375	3	71.9156	246278355.24554837	MSMS
967.46510	484.7400817871094	2	58.0527	244767582.35552618	MSMS
1493.70451	498.9103698730469	3	23.9263	243817661.947785	MSMS
3198.60195	800.9118041992188	4	107.3583	240238468.3810906	MSMS
1959.91740	981.4695434570312	2	102.6001	240027059.8138201	MSMS
1255.67722	628.84765625	2	101.3347	239573627.45845684	MSMS
1786.98290	596.6704711914062	3	80.8851	239566820.68665946	MSMS
1830.90398	611.6441650390625	3	91.1518	237575040.65104327	MSMS
1318.66296	660.3400268554688	2	51.4866	236822039.7983628	MSMS
1319.66427	660.8414916992188	2	120.9103	236542738.56493607	MSMS
1303.67722	652.8472900390625	2	66.1007	235606092.29484427	MSMS
1418.74054	710.3795166015625	2	124.6295	234992129.56968662	MSMS
1313.73434	657.873779296875	2	75.6462	234848100.4598165	MSMS
1274.63541	638.3263549804688	2	59.2728	233534051.2918885	MSMS
1263.67107	632.844970703125	2	65.1054	230098457.3412321	MSMS
1142.62704	572.3219604492188	2	100.9994	227845946.00457257	MSMS
1541.84132	771.9305419921875	2	134.1034	226294637.55967736	MSMS
1160.65536	581.3364868164062	2	119.8508	224787510.5038585	MSMS
1015.47568	508.74407958984375	2	39.3927	224479898.50679734	MSMS
912.57565	457.2952880859375	2	59.0015	223865393.47706854	MSMS
