mono_mass	mz	charge	rt	intensity	detection
392.21722	393.22450	1	29.2809		PSM
402.22272	403.23000	1	20.4580		PSM
404.20192	405.20920	1	21.8404		PSM
487.30062	488.30790	1	42.5121		PSM
516.25442	517.26170	1	21.8655		PSM
605.35372	606.36100	1	30.9667		PSM
647.40062	648.40790	1	38.8338		PSM
748.42322	375.21889	2	24.8415		PSM
749.43232	375.72344	2	32.6365		PSM
749.44762	375.73109	2	56.4374		PSM
750.42762	376.22109	2	30.8317		PSM
750.42762	376.22109	2	36.4419		PSM
751.33882	376.67669	2	29.2784		PSM
752.37042	377.19249	2	22.4611		PSM
752.38572	377.20014	2	41.6856		PSM
752.38912	377.20184	2	28.4762		PSM
752.40682	377.21069	2	18.5635		PSM
752.40682	377.21069	2	23.6195		PSM
752.41812	377.21634	2	19.6849		PSM
753.37312	377.69384	2	28.6294		PSM
753.37312	377.69384	2	32.8585		PSM
754.40142	378.20799	2	28.6294		PSM
754.45892	378.23674	2	36.4937		PSM
754.47012	378.24234	2	23.6195		PSM
755.45412	378.73434	2	33.6920		PSM
756.38402	379.19929	2	35.1480		PSM
756.44942	379.23199	2	22.6218		PSM
756.44942	379.23199	2	35.4164		PSM
756.45342	379.23399	2	47.1521		PSM
756.46802	379.24129	2	27.6607		PSM
756.47452	379.24454	2	31.9341		PSM
757.42352	379.71904	2	28.8457		PSM
757.43342	379.72399	2	21.9526		PSM
757.43342	379.72399	2	22.2961		PSM
757.43342	379.72399	2	29.5015		PSM
757.45582	379.73519	2	18.7770		PSM
757.46982	379.74219	2	20.0336		PSM
758.33472	380.17464	2	31.0053		PSM
758.35592	380.18524	2	17.0004		PSM
758.39222	380.20339	2	29.8850		PSM
758.39632	380.20544	2	32.9619		PSM
758.41742	380.21599	2	25.7074		PSM
758.41742	380.21599	2	26.4995		PSM
758.45382	380.23419	2	29.3815		PSM
758.48032	380.24744	2	30.2558		PSM
758.49022	380.25239	2	42.6010		PSM
758.49022	380.25239	2	48.3214		PSM
759.38032	380.69744	2	24.5506		PSM
759.41262	380.71359	2	20.0336		PSM
759.41262	380.71359	2	27.4415		PSM
759.41262	380.71359	2	31.8339		PSM
760.37892	381.19674	2	17.8094		PSM
760.39672	381.20564	2	24.1204		PSM
760.43302	381.22379	2	32.3643		PSM
761.37082	381.69269	2	21.2565		PSM
761.37082	381.69269	2	26.9594		PSM
761.38942	381.70199	2	21.5711		PSM
761.40722	381.71089	2	36.6423		PSM
761.47992	381.74724	2	59.2164		PSM
762.43882	382.22669	2	31.3891		PSM
762.46402	382.23929	2	33.4417		PSM
763.43022	382.72239	2	39.9519		PSM
764.35612	383.18534	2	24.4475		PSM
764.40682	383.21069	2	24.9423		PSM
764.40682	383.21069	2	26.4162		PSM
764.41022	383.21239	2	30.9693		PSM
764.42552	383.22004	2	44.6305		PSM
764.44322	383.22889	2	34.6109		PSM
764.44322	383.22889	2	43.4186		PSM
765.36572	383.69014	2	30.6450		PSM
765.40212	383.70834	2	18.3219		PSM
765.44592	766.45320	1	49.1293		PSM
765.44592	383.73024	2	49.0374		PSM
765.44972	383.73214	2	24.9874		PSM
766.36502	384.18979	2	27.4056		PSM
766.36832	384.19144	2	29.2716		PSM
766.37622	384.19539	2	26.4760		PSM
766.41262	384.21359	2	45.8007		PSM
766.44902	384.23179	2	41.8166		PSM
767.29732	384.65594	2	20.7862		PSM
767.39662	384.70559	2	47.8302		PSM
768.34762	385.18109	2	28.4056		PSM
768.37662	385.19559	2	17.4937		PSM
768.44942	385.23199	2	27.4056		PSM
769.36802	385.69129	2	21.0322		PSM
769.36802	385.69129	2	26.8695		PSM
769.40102	385.70779	2	29.6269		PSM
769.41232	385.71344	2	51.3270		PSM
769.48102	385.74779	2	36.8829		PSM
770.39632	386.20544	2	36.0101		PSM
770.40352	386.20904	2	19.0693		PSM
770.42862	386.22159	2	39.9179		PSM
770.46502	386.23979	2	35.7013		PSM
771.39552	386.70504	2	43.4211		PSM
771.41672	386.71564	2	45.6731		PSM
771.42392	386.71924	2	20.0689		PSM
771.42392	386.71924	2	24.7578		PSM
771.42792	386.72124	2	40.5009		PSM
771.44902	386.73179	2	20.5672		PSM
771.44902	386.73179	2	25.0632		PSM
771.46032	386.73744	2	20.1782		PSM
771.48542	386.74999	2	42.0405		PSM
772.37892	387.19674	2	25.4110		PSM
772.40792	387.21124	2	24.7578		PSM
772.46942	387.24199	2	38.2864		PSM
772.48812	387.25134	2	49.6848		PSM
772.50582	387.26019	2	48.7825		PSM
773.35952	387.68704	2	28.1675		PSM
773.40312	387.70884	2	18.1436		PSM
773.42832	387.72144	2	21.3750		PSM
773.42832	387.72144	2	23.5700		PSM
774.37592	388.19524	2	19.1004		PSM
774.40242	388.20849	2	20.6093		PSM
774.41232	388.21344	2	29.6768		PSM
774.42762	388.22109	2	33.5241		PSM
774.44222	388.22839	2	24.3524		PSM
774.47522	388.24489	2	56.6676		PSM
774.51162	388.26309	2	42.3075		PSM
775.39772	388.70614	2	26.9808		PSM
775.40762	388.71109	2	18.5519		PSM
775.42622	388.72039	2	29.2835		PSM
775.43402	388.72429	2	36.7686		PSM
775.45922	388.73689	2	35.0903		PSM
776.34872	389.18164	2	25.6438		PSM
777.38432	389.69944	2	18.7210		PSM
777.46362	389.73909	2	44.9965		PSM
778.40472	390.20964	2	42.3063		PSM
778.42252	390.21854	2	27.2310		PSM
778.44492	390.22974	2	18.0015		PSM
778.47752	390.24604	2	37.2709		PSM
779.34502	390.67979	2	19.6508		PSM
779.36022	390.68739	2	33.3332		PSM
779.37012	390.69234	2	31.7877		PSM
779.37012	390.69234	2	37.5123		PSM
779.40002	390.70729	2	37.2709		PSM
779.42902	390.72179	2	24.3756		PSM
780.40172	391.20814	2	17.4515		PSM
780.40172	391.20814	2	30.6251		PSM
780.42042	391.21749	2	33.3332		PSM
780.42422	391.21939	2	18.2465		PSM
780.43812	391.22634	2	31.1040		PSM
780.45342	391.23399	2	49.6803		PSM
780.45342	391.23399	2	51.5143		PSM
780.54732	391.28094	2	51.5143		PSM
781.44082	391.72769	2	37.8850		PSM
781.44462	391.72959	2	22.1885		PSM
781.50622	391.76039	2	45.1750		PSM
782.36332	392.18894	2	20.0621		PSM
782.40752	392.21104	2	27.6594		PSM
782.41742	392.21599	2	23.6353		PSM
782.42862	392.22159	2	23.2895		PSM
782.43272	392.22364	2	37.0043		PSM
783.39152	392.70304	2	44.6368		PSM
783.41672	392.71564	2	45.7333		PSM
783.44902	392.73179	2	23.0271		PSM
783.48542	392.74999	2	21.3188		PSM
783.48542	392.74999	2	35.0462		PSM
784.38272	393.19864	2	18.2281		PSM
784.44432	393.22944	2	18.7566		PSM
784.48072	393.24764	2	29.3325		PSM
784.50582	393.26019	2	51.9251		PSM
785.38942	393.70199	2	48.3552		PSM
785.42182	393.71819	2	28.0363		PSM
785.42832	393.72144	2	17.2677		PSM
785.43952	393.72704	2	28.1090		PSM
785.45482	393.73469	2	26.8720		PSM
785.46472	393.73964	2	46.2699		PSM
786.41362	394.21409	2	19.1141		PSM
786.45992	394.23724	2	27.5562		PSM
787.37122	394.69289	2	19.9767		PSM
787.45922	394.73689	2	39.0683		PSM
787.47042	394.74249	2	34.7616		PSM
788.39162	395.20309	2	19.2522		PSM
788.40282	395.20869	2	18.2510		PSM
788.40282	395.20869	2	25.9854		PSM
788.43922	395.22689	2	19.5220		PSM
788.44322	395.22889	2	43.1439		PSM
788.44662	395.23059	2	46.0360		PSM
788.46432	395.23944	2	32.8213		PSM
788.48302	395.24879	2	54.8436		PSM
788.51602	395.26529	2	64.2353		PSM
789.38682	395.70069	2	19.6058		PSM
789.40552	395.71004	2	37.4530		PSM
789.43852	395.72654	2	41.4653		PSM
790.39732	396.20594	2	23.8977		PSM
790.40722	396.21089	2	18.8438		PSM
790.43712	396.22584	2	17.9717		PSM
790.47012	396.24234	2	37.4530		PSM
