base	secs	features	exit
130124_dilA_1_01	42.4	44567	0
130124_dilA_1_02	49.5	51933	0
130124_dilA_1_03	48.5	53868	0
130124_dilA_1_04	47.5	54892	0
130124_dilA_10_01	43.5	48376	0
130124_dilA_10_02	40.4	40743	0
130124_dilA_10_03	41.5	45821	0
130124_dilA_10_04	42.4	46319	0
130124_dilA_11_01	42.4	50242	0
130124_dilA_11_02	42.4	50836	0
130124_dilA_11_03	47.4	55619	0
130124_dilA_11_04	48.5	54430	0
130124_dilA_12_01	47.5	58928	0
130124_dilA_12_02	47.5	56483	0
130124_dilA_12_03	49.5	60049	0
130124_dilA_12_04	52.6	63436	0
130124_dilA_2_01	42.5	45985	0
130124_dilA_2_02	41.4	45381	0
130124_dilA_2_03	44.4	47129	0
130124_dilA_2_04	44.4	48743	0
130124_dilA_2_05	44.5	50431	0
130124_dilA_2_06	44.4	48866	0
130124_dilA_2_07	44.4	47554	0
130124_dilA_3_01	42.4	44023	0
130124_dilA_3_02	42.5	43989	0
130124_dilA_3_03	43.4	42533	0
130124_dilA_3_04	48.6	46346	0
130124_dilA_3_05	43.4	45940	0
130124_dilA_3_06	45.5	49210	0
130124_dilA_3_07	44.5	47785	0
130124_dilA_4_01	43.4	41724	0
130124_dilA_4_02	39.4	39945	0
130124_dilA_4_03	40.4	40449	0
130124_dilA_4_04	44.4	44543	0
130124_dilA_4_05	45.4	47462	0
130124_dilA_4_06	44.5	44534	0
130124_dilA_4_07	46.5	44330	0
130124_dilA_5_01	42.5	42409	0
130124_dilA_5_02	49.8	41302	0
130124_dilA_5_03	43.4	42659	0
130124_dilA_5_04	43.4	43732	0
130124_dilA_6_01	42.6	42425	0
130124_dilA_6_02	43.7	43309	0
130124_dilA_6_03	43.7	43620	0
130124_dilA_6_04	48.6	47636	0
130124_dilA_7_01	45.7	43301	0
130124_dilA_7_02	45.5	42835	0
130124_dilA_7_03	48.5	43397	0
130124_dilA_7_04	43.4	45342	0
130124_dilA_8_01	62.6	46130	0
130124_dilA_8_02	39.7	39997	0
130124_dilA_8_03	44.4	41897	0
130124_dilA_8_04	44.4	43763	0
130124_dilA_9_01	44.4	40786	0
130124_dilA_9_02	40.4	41475	0
130124_dilA_9_03	42.4	44930	0
130124_dilA_9_04	43.5	45043	0
