mono_mass	mz	charge	rt	n_psm
798.41280	400.21370	2	38.1437	2
798.48520	400.24990	2	57.8427	2
799.45535	400.73495	2	49.2204	2
800.43860	401.22660	2	42.2210	1
800.43920	401.22690	2	43.7467	2
800.43990	401.22720	2	40.1673	3
800.45495	401.23475	2	51.3556	2
801.43505	401.72480	2	36.5125	2
801.53375	401.77415	2	44.4613	2
802.38615	402.20035	2	38.6548	2
802.49855	402.25655	2	61.9529	2
805.40835	403.71145	2	44.9752	2
805.44470	403.72965	2	51.4194	2
806.39570	404.20515	2	37.3989	2
806.45410	404.23435	2	60.5887	2
807.41280	404.71370	2	39.8659	2
808.36370	405.18910	2	36.5446	2
808.44320	405.22885	2	35.6457	2
811.35400	406.68430	2	37.3800	2
811.49195	406.75325	2	49.7013	2
812.43940	407.22695	2	39.9245	2
812.47560	407.24505	2	60.4404	2
812.48725	407.25090	2	44.5222	2
812.51190	407.26325	2	49.0207	2
814.45465	408.23460	2	34.1955	2
814.45525	408.23490	2	51.7442	2
814.51625	408.26540	2	58.8338	2
815.43865	408.72660	2	38.5472	2
815.46905	408.74180	2	56.8798	2
815.47510	408.74485	2	42.0134	2
815.47660	408.74555	2	46.3103	2
815.49750	408.75600	2	37.7061	2
815.51170	408.76310	2	46.0338	1
816.38340	409.19900	2	51.5724	2
816.44925	409.23190	2	66.6040	2
816.47020	409.24240	2	37.3726	2
817.42950	409.72205	2	34.4222	2
817.48140	409.74795	2	67.0219	2
818.44055	410.22755	2	52.9695	2
818.49005	410.25230	2	74.0039	2
819.39135	410.70295	2	34.8277	2
819.43070	410.72260	2	63.2200	1
820.43385	411.22420	2	38.7684	2
820.46880	411.24170	2	45.5069	2
820.48840	411.25150	2	71.8181	2
821.42910	411.72180	2	40.6361	1
822.39100	412.20280	2	30.0198	3
822.42385	412.21920	2	36.7238	2
822.42425	412.21940	2	42.5562	2
823.41870	412.71660	2	36.0793	1
823.42655	412.72055	2	54.8707	2
824.54880	413.28165	2	71.3366	2
826.49060	414.25255	2	39.5819	2
826.49130	414.25295	2	42.1361	2
826.52745	414.27100	2	69.8191	2
826.52760	414.27110	2	49.8157	2
828.41615	415.21535	2	31.0749	2
828.47720	415.24590	2	38.5664	1
829.44795	415.73125	2	39.9733	4
829.45470	415.73460	2	45.7694	1
829.46505	415.73980	2	41.5813	2
829.46555	415.74005	2	34.4196	2
829.49140	415.75300	2	56.0096	2
829.49210	415.75330	2	39.2815	1
829.50285	415.75870	2	36.4568	2
829.50310	415.75880	2	50.6465	1
831.47000	416.74225	2	35.0330	2
831.47005	416.74230	2	48.5536	2
831.49670	416.75565	2	69.9893	2
831.49725	416.75590	2	62.1540	2
832.39265	417.20360	2	34.1431	2
832.42910	417.22180	2	45.0614	2
834.43530	418.22490	2	37.8256	2
835.44410	418.72930	2	43.2182	2
836.38870	419.20160	2	40.3150	1
836.40135	419.20795	2	41.1348	2
836.44020	419.22740	2	56.8704	2
836.44060	419.22760	2	43.3907	2
837.40295	419.70875	2	47.9684	2
837.40530	419.70995	2	54.5435	2
838.41805	420.21630	2	37.2632	2
839.42985	420.72220	2	55.3050	2
839.58475	420.79965	2	73.3101	2
840.47060	421.24260	2	42.9209	2
840.54310	421.27880	2	75.0239	2
840.54325	421.27895	2	59.8394	2
841.46590	421.74020	2	40.8553	3
841.49150	421.75300	2	55.0680	1
841.50250	421.75850	2	50.5801	1
842.42830	422.22140	2	47.7796	2
