base	unique_peaks	n_psm
130124_dilA_10_01	3008	5686
130124_dilA_10_02	2673	4966
130124_dilA_10_03	3127	5923
130124_dilA_10_04	3152	6006
130124_dilA_11_01	2664	5010
130124_dilA_11_02	2499	4671
130124_dilA_11_03	2700	5102
130124_dilA_11_04	2795	5295
130124_dilA_12_01	1989	3789
130124_dilA_12_02	1970	3712
130124_dilA_12_03	2026	3925
130124_dilA_12_04	2069	3958
130124_dilA_1_01	2654	4974
130124_dilA_1_02	2807	5363
130124_dilA_1_03	2818	5382
130124_dilA_1_04	2848	5457
130124_dilA_2_01	3281	6213
130124_dilA_2_02	3129	6046
130124_dilA_2_03	3311	6301
130124_dilA_2_04	3317	6389
130124_dilA_2_05	3293	6292
130124_dilA_2_06	3282	6279
130124_dilA_2_07	3298	6260
130124_dilA_3_01	3426	6485
130124_dilA_3_02	3350	6397
130124_dilA_3_03	3362	6398
130124_dilA_3_04	3446	6596
130124_dilA_3_05	3484	6697
130124_dilA_3_06	3444	6617
130124_dilA_3_07	3457	6734
130124_dilA_4_01	3285	6210
130124_dilA_4_02	3219	6082
130124_dilA_4_03	3219	6120
130124_dilA_4_04	3359	6491
130124_dilA_4_05	3406	6630
130124_dilA_4_06	3392	6544
130124_dilA_4_07	3387	6536
130124_dilA_5_01	3200	5992
130124_dilA_5_02	3262	6266
130124_dilA_5_03	3363	6407
130124_dilA_5_04	3419	6584
130124_dilA_6_01	3096	5843
130124_dilA_6_02	3249	6249
130124_dilA_6_03	3344	6441
130124_dilA_6_04	3471	6682
130124_dilA_7_01	3315	6308
130124_dilA_7_02	3408	6471
130124_dilA_7_03	3426	6625
130124_dilA_7_04	3403	6541
130124_dilA_8_01	3295	6276
130124_dilA_8_02	3202	6132
130124_dilA_8_03	3268	6266
130124_dilA_8_04	3359	6432
130124_dilA_9_01	3172	5971
130124_dilA_9_02	3126	5918
130124_dilA_9_03	3211	6257
130124_dilA_9_04	3224	6201
