base	secs	features	exit
130124_dilA_1_01	35.4	415652	0
130124_dilA_1_02	33.3	353489	0
130124_dilA_1_03	33.3	364448	0
130124_dilA_1_04	29.3	351159	0
130124_dilA_10_01	31.3	375964	0
130124_dilA_10_02	37.4	418071	0
130124_dilA_10_03	28.4	333132	0
130124_dilA_10_04	29.4	346814	0
130124_dilA_11_01	30.3	366528	0
130124_dilA_11_02	36.4	456980	0
130124_dilA_11_03	31.3	384951	0
130124_dilA_11_04	32.3	363414	0
130124_dilA_12_01	33.1	389378	0
130124_dilA_12_02	32.3	378728	0
130124_dilA_12_03	32.9	371032	0
130124_dilA_12_04	33.3	396069	0
130124_dilA_2_01	31.3	364864	0
130124_dilA_2_02	27.2	321221	0
130124_dilA_2_03	27.3	330482	0
130124_dilA_2_04	27.3	334811	0
130124_dilA_2_05	28.3	336907	0
130124_dilA_2_06	27.3	326631	0
130124_dilA_2_07	28.2	351016	0
130124_dilA_3_01	30.3	339268	0
130124_dilA_3_02	28.8	338095	0
130124_dilA_3_03	28.3	302022	0
130124_dilA_3_04	28.3	331227	0
130124_dilA_3_05	28.3	322601	0
130124_dilA_3_06	31.3	361744	0
130124_dilA_3_07	29.3	336642	0
130124_dilA_4_01	30.3	348586	0
130124_dilA_4_02	26.3	310522	0
130124_dilA_4_03	25.3	306812	0
130124_dilA_4_04	29.3	331017	0
130124_dilA_4_05	27.3	342321	0
130124_dilA_4_06	27.3	350204	0
130124_dilA_4_07	29.3	344462	0
130124_dilA_5_01	32.3	364055	0
130124_dilA_5_02	28.3	328029	0
130124_dilA_5_03	27.3	317486	0
130124_dilA_5_04	26.3	335561	0
130124_dilA_6_01	30.3	367635	0
130124_dilA_6_02	28.3	360048	0
130124_dilA_6_03	28.3	311185	0
130124_dilA_6_04	28.3	329973	0
130124_dilA_7_01	32.3	333840	0
130124_dilA_7_02	35.3	332115	0
130124_dilA_7_03	28.3	328452	0
130124_dilA_7_04	34.4	326803	0
130124_dilA_8_01	38.4	385041	0
130124_dilA_8_02	34.3	331026	0
130124_dilA_8_03	31.3	299067	0
130124_dilA_8_04	40.4	349149	0
130124_dilA_9_01	55.5	362970	0
130124_dilA_9_02	30.3	344245	0
130124_dilA_9_03	29.8	344131	0
130124_dilA_9_04	32.3	348139	0
