base	ref_peaks	ours_feat	dino_feat	ours_recall_0.5	ours_charge_0.5	dino_recall_0.5	dino_charge_0.5	ours_recall_1.0	ours_charge_1.0	dino_recall_1.0	dino_charge_1.0
130124_dilA_10_01	3008	375964	48376	97.5	90.2	97.1	66.5	97.9	85.8	97.8	67.1
130124_dilA_10_02	2673	418071	40743	98.1	93.3	97.7	75.2	98.5	89.6	98.1	75.7
130124_dilA_10_03	3127	333132	45821	97.7	90.7	97.2	68.5	98.1	86.2	97.9	69.2
130124_dilA_10_04	3152	346814	46319	98.0	91.6	97.3	67.3	98.2	86.5	97.8	68.1
130124_dilA_11_01	2664	366528	50242	98.0	91.2	97.4	66.6	98.2	86.6	97.9	67.3
130124_dilA_11_02	2499	456980	50836	98.1	92.0	97.4	71.7	98.4	86.2	98.0	72.3
130124_dilA_11_03	2700	384951	55619	97.9	88.8	97.3	60.8	98.2	82.5	97.8	61.7
130124_dilA_11_04	2795	363414	54430	97.8	89.2	96.7	63.4	98.1	83.7	97.2	64.7
130124_dilA_12_01	1989	389378	58928	97.4	88.6	96.6	64.2	98.1	82.6	97.3	65.2
130124_dilA_12_02	1970	378728	56483	97.5	90.2	97.0	65.9	98.0	85.1	97.7	67.1
130124_dilA_12_03	2026	371032	60049	97.9	88.6	96.4	60.8	98.2	82.7	97.3	62.2
130124_dilA_12_04	2069	396069	63436	97.6	88.4	97.0	64.0	97.9	81.7	97.5	65.0
130124_dilA_1_01	2654	415652	44567	97.6	91.6	97.4	68.0	97.9	87.5	97.8	69.3
130124_dilA_1_02	2807	353489	51933	98.0	91.2	97.5	66.1	98.3	86.6	98.1	67.4
130124_dilA_1_03	2818	364448	53868	98.1	90.1	97.4	64.9	98.4	85.6	98.0	66.5
130124_dilA_1_04	2848	351159	54892	97.8	90.8	96.9	63.3	98.2	86.1	97.4	65.0
130124_dilA_2_01	3281	364864	45985	97.6	91.9	97.6	67.1	98.0	88.0	97.9	67.6
130124_dilA_2_02	3129	321221	45381	97.8	91.5	97.7	65.8	98.4	87.2	98.2	66.3
