decon_thr	decon_recall	decon_feat_kept	log10int_thr	int_recall	int_feat_kept
0.0000	0.98064	1.00000	2.0000	0.98064	1.00000
0.0020	0.98055	0.98307	2.0200	0.98064	1.00000
0.0040	0.98052	0.97382	2.0400	0.98064	1.00000
0.0060	0.98050	0.96716	2.0600	0.98064	1.00000
0.0080	0.98047	0.96187	2.0800	0.98064	1.00000
0.0100	0.98045	0.95872	2.1000	0.98064	1.00000
0.0120	0.98045	0.95643	2.1200	0.98064	1.00000
0.0140	0.98043	0.95443	2.1400	0.98064	1.00000
0.0160	0.98042	0.95255	2.1600	0.98064	1.00000
0.0180	0.98041	0.95076	2.1800	0.98064	1.00000
0.0200	0.98041	0.94902	2.2000	0.98064	1.00000
0.0220	0.98040	0.94732	2.2200	0.98064	1.00000
0.0240	0.98038	0.94567	2.2400	0.98064	1.00000
0.0260	0.98038	0.94404	2.2600	0.98064	1.00000
0.0280	0.98037	0.94245	2.2800	0.98064	1.00000
0.0300	0.98037	0.94089	2.3000	0.98064	1.00000
0.0320	0.98037	0.93933	2.3200	0.98064	1.00000
0.0340	0.98036	0.93779	2.3400	0.98064	1.00000
0.0360	0.98036	0.93628	2.3600	0.98064	1.00000
0.0380	0.98033	0.93476	2.3800	0.98064	1.00000
0.0400	0.98031	0.93324	2.4000	0.98064	1.00000
0.0420	0.98031	0.93172	2.4200	0.98064	1.00000
0.0440	0.98031	0.93020	2.4400	0.98064	1.00000
0.0460	0.98030	0.92868	2.4600	0.98064	1.00000
0.0480	0.98029	0.92715	2.4800	0.98064	1.00000
0.0500	0.98028	0.92562	2.5000	0.98064	1.00000
0.0520	0.98028	0.92410	2.5200	0.98064	1.00000
0.0540	0.98026	0.92257	2.5400	0.98064	1.00000
0.0560	0.98025	0.92102	2.5600	0.98064	1.00000
0.0580	0.98025	0.91948	2.5800	0.98064	1.00000
0.0600	0.98024	0.91794	2.6000	0.98064	1.00000
0.0620	0.98023	0.91640	2.6200	0.98064	1.00000
0.0640	0.98022	0.91484	2.6400	0.98064	1.00000
0.0660	0.98022	0.91330	2.6600	0.98064	1.00000
0.0680	0.98021	0.91175	2.6800	0.98064	1.00000
